dr7objid,ra,dec,length_avg,length_stdev,width_avg,width_stdev,length_scaled,bar_meas,gz2id,kind,z,abs_mag,color(g-r),galaxyid,mass,Mr,Redshift
587736477062004749,235.09313,7.2832277,18.818947,1.668824,4.8472008,0.82876812,0.52443686,5,3519.0,AGN non-Liner,0.0381196,-21.3821754,0.8594655999999999,348127.0,10.797444,-22.171454999999998,0.0381196
587736477589700614,214.12881,10.632645,4.5357582,0.85959282,0.7422953,0.1077355,0.51467962,3,15630.0,Unclassifiable,0.0222858,-19.2158356,0.8756109000000001,348304.0,9.953567,-19.978941,0.0222858
587736477594026031,224.12089,9.3545313,11.271517,1.2885497,3.833077,0.34744957,0.42960371,5,2300.0,AGN non-Liner,0.028668,-20.9195499,0.6394215999999999,348514.0,10.461698,-21.793552,0.028668
587736477594878116,226.149,9.0540487,6.3202386,0.51788523,1.1750745,0.4160496,0.36052429,3,32520.0,SF,0.0294841,-19.3514442,0.278673,348567.0,9.49052,-20.083721,0.0294841
587736477595402355,227.32689,9.0467667,14.731531,4.0534947,3.1131327,1.6753744,0.58760544,4,20940.0,Composite,0.0440998,-20.4284992,0.6274506,348592.0,10.279328,-21.331692,0.0440998
587736477596516406,229.84284,8.5633886,4.350297900000001,1.4028493,1.2711887,1.2060338,0.43160494,3,57714.0,SF,0.0349311,-19.1844234,0.6216102,348639.0,9.755228,-20.059137,0.0349311
587736477597040907,231.1231,8.373213,7.696103999999999,1.2121959999999998,1.5264204,0.59940526,0.38410177,5,6070.0,Composite,0.036338699999999995,-20.8149414,0.7344554,348693.0,10.53656,-21.717760000000002,0.036338699999999995
587736477597368587,231.78155,8.4017365,4.4839023000000005,0.61636901,1.0117681,0.46734306,0.34415898,3,102494.0,SF,0.04406740000000002,-19.3198051,0.2896276,348713.0,9.517136,-20.175864999999998,0.04406740000000001
587736478130307277,222.86532000000003,10.102676,5.5151364,2.6618438,1.9851745,0.75460628,0.35492061,4,182861.0,SF,0.0522057,-19.2042923,0.6123161,349084.0,9.768066000000001,-20.10789,0.0522057
587736478136271220,236.49398,7.866516199999999,4.5741016,0.44511465,0.83737628,0.87791629,0.32609695,4,226530.0,SF,0.0339347,-18.0988865,0.3362761,349357.0,9.061169,-18.954507999999997,0.0339347
587736478662262809,211.52704,11.788835,4.4275028,1.2797732,0.88029882,0.44321358,0.31567416,5,14143.0,SF,0.015911099999999997,-18.4701996,0.3675113,349540.0,9.244821,-19.292395000000003,0.015911099999999997
587736478666719311,221.84584,10.581019,9.684494699999998,1.7952941000000002,2.2208629,1.8002901999999998,0.59012117,4,102702.0,SF,0.05316269999999999,-19.6903439,0.6782925,349693.0,10.013835,-20.588312,0.05316269999999999
587736478668619912,226.19817,9.9166199,6.7748256,0.99222953,2.0310473,0.77862586,0.32756104,5,172545.0,SF,0.0383272,-18.5921955,0.5518426,349764.0,9.47662,-19.435707,0.0383272
587736478668619965,226.27977,10.057978,5.9568262,1.6806751,2.0272791,1.5847011999999998,0.33751712,3,68893.0,low S/N SF,0.0416793,-19.4607792,0.5335386,349767.0,9.785787,-20.330101000000003,0.0416793
587736478668750878,226.51055,9.9300299,15.11442,3.1868354,3.5998731,1.9676285,0.65668676,6,18252.0,AGN non-Liner,0.05412080000000001,-21.0700893,0.7659236999999999,349774.0,10.642443,-21.889167999999998,0.05412080000000001
587736478669209641,227.52236,9.7230013,6.3630035000000005,0.59726546,2.0307424,1.1449459,0.44189642,4,4693.0,Composite,0.0215607,-19.8462505,0.8382504999999999,349825.0,10.179829,-20.702097,0.0215607
587736479197167750,207.04693,12.498802,8.535635599999999,1.2033216,2.6697526000000003,0.92721291,0.49984617,4,30703.0,Low S/N Liner,0.0497806,-20.5049877,0.8490684000000001,311321.0,10.46165,-21.328903,0.0497806
587736479202410631,219.12657,11.394777,13.254672,3.0081513,3.3182729,1.5790738000000002,0.45935423,4,10843.0,SF,0.055054599999999995,-21.4152298,0.6383576999999999,395561.0,10.666996000000001,-22.301622000000002,0.055054599999999995
587736523761451110,212.11558,5.6577475,12.684637,1.1692049999999998,2.7343695,0.599721,0.4882502,4,10323.0,AGN non-Liner,0.045607,-20.9814091,0.8267945,370892.0,10.629571,-21.879382999999997,0.045607
587736524294455562,203.37176,6.5123019,14.349725,2.7163076,3.446321,1.7690624,0.71342959,5,42351.0,SF,0.053991599999999994,-20.3704395,0.693734,364986.0,10.304737,-21.290817,0.053991599999999994
587736524832833555,206.74388,6.935864100000001,14.587233,1.5217625,4.022779,1.3395198,0.59769584,5,18136.0,Low S/N Liner,0.0511604,-20.950592,0.8713569999999999,365262.0,10.648823,-21.759045,0.0511604
587736524837159120,216.72656,6.2402487,7.8623673,1.6796311000000002,1.3224376,0.23715373,0.49915388,4,178874.0,Unclassifiable,0.059699,-19.5083733,0.8846216,372395.0,10.130886,-20.436826999999997,0.059699
587736525367869462,202.56529,7.486208,5.9338605000000015,0.97457747,1.8876271,0.90709872,0.26957873,5,5555.0,Composite,0.023319799999999998,-19.9190331,0.6538994,365384.0,10.100427999999999,-20.790333,0.023319799999999998
587736525374095576,216.94316,6.5976951,11.597343,2.1987479,2.8830926,1.3422866000000002,0.5808802,5,7486.0,Composite,0.027495,-20.0207767,0.7292233,373161.0,10.171814999999999,-20.955238,0.027495
587736525911228618,217.59739,7.093762400000001,14.445385,3.7974745,4.1806848,1.1193034,0.42400502,4,16354.0,Unclassifiable,0.0540044,-21.0665989,0.8967845,373755.0,10.729924,-21.955109,0.0540044
587736540938109046,200.31199,8.5059918,8.7786569,1.1942902,1.8305812,0.83155453,0.40439207,4,13173.0,AGN non-Liner,0.042170599999999996,-20.646162,0.7350701999999999,365854.0,10.444736,-21.542934,0.042170599999999996
587736540940992713,207.06094,8.1846912,10.274647,2.4346021,3.3741227999999994,1.268262,0.5544511999999999,4,31909.0,AGN non-Liner,0.0549232,-20.702549,0.7929646,365952.0,10.518130000000001,-21.525953,0.0549232
587736541474914354,200.2399,8.9854659,4.6488017,0.068685034,1.5958443000000002,0.93313253,0.21776996,4,31249.0,SF,0.0323972,-19.5720806,0.5030067,366418.0,9.846805,-20.341735999999997,0.0323972
587736541481074873,214.39671,8.0217212,11.555727,3.3150414,3.1839772,2.1404317,0.5892149999999999,3,96087.0,Unclassifiable,0.057223500000000004,-19.9987431,0.915549,366688.0,10.316764,-20.804802,0.057223500000000004
587736541481533486,215.4758,7.882542,9.5142818,1.2324913,2.3810773,0.73754134,0.49893404,4,3529.0,Low S/N Liner,0.025121,-20.4602947,0.9281021,366722.0,10.494145,-21.2264,0.025121
587736541482188941,216.96657,7.764943700000001,8.2532814,1.6583515,1.3168748,0.30942098,0.49008074,3,22769.0,Composite,0.0365645,-20.0525093,0.7027118,366743.0,10.17914,-20.837585,0.0365645
587736541482319886,217.27518,7.8460527,6.0682331,1.6384202,1.3004587,0.82927918,0.46587403,9,13779.0,SF,0.026929599999999998,-19.6509342,0.3535753,366747.0,9.665836,-20.490593,0.026929599999999998
587736541489201478,233.02724,6.0171955000000015,5.7187958,2.5251148,1.1066944,0.45842004,0.41326014,4,145610.0,SF,0.050618300000000005,-19.3448734,0.4677606,366895.0,9.676741999999999,-20.207794,0.050618300000000005
587736542011129927,198.78496,9.348723199999998,9.5020483,0.36234609,2.2571459,0.48790058,0.32265949,3,9614.0,SF,0.0526711,-21.366701100000004,0.6384999,366986.0,10.64265,-22.256071,0.0526711
587736542022860884,225.76371,7.363617,8.244675200000001,2.1686519,2.3143066,1.1929055,0.53419101,4,64176.0,SF,0.0562085,-20.1483021,0.639964,367415.0,10.214084,-21.077206,0.0562085
587736542026465646,233.99535,6.3825732,9.686182,2.3056127,2.9383876,0.91144854,0.58217308,4,21665.0,Composite,0.0385452,-20.0691109,0.7848951,367684.0,10.244337,-20.989012,0.0385452
