NAME2,I,type,other
J221741.62+000907.5,0.11775367415917072,a,
J162941.86+263047.0,0.09205410525217192,a,
J093808.81+012657.0,0.12700567636917526,f,
J010239.14-005243.5,0.12456398718615876,c,
J160510.74+472901.4,0.10320055229399072,b,
J091556.76+500103.9,0.1561239143897759,b,
J084647.67+060600.1,0.07159557013475437,b,
J112426.14-002537.5,0.12704787931549466,a,
J083614.89+521209.1,0.07001934940787986,a,
J094937.92+404125.2,0.10849528375463342,f,
J110559.02+585645.7,0.105408506289542,b,
J091256.09+465201.5,0.19048829788690036,a,
J110449.91+123225.3,0.1026957472095044,b,
J024222.87-011009.1,0.3233378568057821,4,?
J090130.95+414633.5,0.10827474351908926,2,
J010606.93+002025.2,0.09054655053441674,a,
J100837.33+543905.4,0.06980045745800252,f,
J124934.80+134809.8,0.14360368970355253,1,
J093738.84+415109.2,0.1020182249788196,b,
J113606.64+621457.0,0.1719677715538747,1,
J093236.59+095026.0,0.11393341780803158,e,
J012516.38-085225.2,0.22207205238557992,1,
J144921.59+631613.9,0.1278910851517086,2,
J154654.33+055328.4,0.14043832371279533,f,
J151104.95+041737.8,0.22252404800541334,3,
J035212.58-062056.2,0.06510062671174642,f,
J084034.42+023640.8,0.08218296318990552,a,
J155126.42+531000.6,0.07687125834840212,d,
J092902.44+582100.7,0.20835188664570367,2,c
J140132.74+133206.0,0.09285954210412097,d,
J081009.25+071332.9,0.3407716471706354,3,
J123358.31+490154.7,0.09838883972734848,b,
J093311.89+341518.6,0.08844572127469474,d,
J110909.09+052815.7,0.06423568554072483,b,
J101814.13+585951.7,0.10780263642665604,d,
J211843.54-071212.3,0.1059289936937795,f,
J123113.97+500026.8,0.09351049102187148,f,
J114721.61+522658.5,0.11155482129733377,2,
J083848.15+040734.1,0.1081047018746036,2,
J104002.70+493304.6,0.12782417507796082,d,
J134442.17+555313.6,0.37991543579818005,3,
J012839.88+144553.8,0.342483389227352,4,
J005342.65-010506.6,0.10002249383952504,f,
J034226.85-003458.3,0.10960938371913298,1,
J113808.01+111147.0,0.14001597306997068,1,
J123917.81+513833.5,0.09600319456398118,a,
J020012.57-003335.6,0.1885615504243483,b,
J163938.24+465757.1,0.17816142702968454,c,
J154257.57+313132.1,0.07750545933129574,c,
J161250.86+532304.8,0.115575640269705,b,
J100901.65+384639.6,0.07265783768972334,b,
J154729.64+550903.8,0.14994834941652396,c,
J085944.13+295408.4,0.09379718940601417,b,
J103631.88+022144.0,0.496262597796476,3,4
J094505.46+023932.9,0.13043501539076305,a,
J122727.62+031807.7,0.16002140718949334,1,
J084029.20+292640.8,0.10965792945973774,f,
J162241.48+495357.1,0.10490117325489487,1,
J095654.01+052140.0,0.2134452584919536,c,
J083551.66+314159.3,0.10744678637084447,a,
J005256.01+154707.9,0.3005664016616697,b,
J111149.90+050642.4,0.10795247258730084,b,
J131817.68+132500.1,0.10645724577416706,f,
J144632.40+490038.0,0.11915947454195196,a,
J114825.72+643545.0,0.1055008295492309,b,
J093141.45+474209.2,0.16915548326908547,b,
J021405.91-001637.0,0.09752629335070896,a,
J155404.40+545708.3,0.08614791741287146,b,
J103000.94+085202.6,0.07133205694679842,b,
J123019.41+032712.8,0.09097875910422763,f,
J115852.64+583501.0,0.11403837632595334,b,
J001529.74+003823.2,0.11200023529052,d,
J151739.42+040709.6,0.1466247288693852,a,
J105702.92+051442.1,0.1036823257607286,b,
J130549.53-033825.3,0.09591269435978056,f,
J111549.86+461910.4,0.12306048425110187,f,
J215648.47+004110.7,0.11182079257582904,a,
J105953.47+595715.6,0.1424520144628545,b,
J014600.40-100141.5,0.12537616088947534,f,
J120722.70+625710.7,0.09565475557220117,d,
J114342.09+632434.8,0.1168520073501866,c,
J154955.55+055931.2,0.1541402173344221,c,
J103932.19+135550.2,0.1311132183850403,d,
J092256.42+110455.2,0.16033794400787954,1,
J141624.68+043801.8,0.1490964781349006,d,
J090746.24+331000.8,0.12536160522200065,2,
J141259.24+005516.3,0.14510142134687168,f,
J093503.25+341703.4,0.06132993653601515,d,
J225200.50+002149.4,0.11465947302697092,f,
J115250.88+542150.8,0.08710510974272674,f,
J101756.90+390528.0,0.0888251937769687,f,
J152659.44+355837.1,0.3679152831913544,3,
J011336.74-103445.7,0.1144739022804336,d,
J233612.85+150024.5,0.17878306758163967,4,
J133147.09+591047.3,0.10375845084607667,1,
J085246.95+425005.7,0.14288127616383786,4,
J120905.74+411903.9,0.14838055550460488,e,
J032541.69-001117.2,0.11433650815337534,b,
J101931.72+585718.3,0.06266341347641599,b,
J114250.31+594806.7,0.10196419577765653,b,
J122119.70+544923.2,0.1184958193590696,f,
J164203.57+323239.2,0.0759769362340793,b,
J095434.83+501433.3,0.07909726502533035,a,
J115721.73+583205.2,0.09489186140622792,f,
J090759.43+031033.8,0.11645896410579525,3,
J130240.42+514644.1,0.14267268455128335,1,
J210915.57+003124.5,0.09556937337836917,f,1
J084834.00+392707.5,0.08212102671268515,f,
J125716.85+443625.7,0.19734324854484286,3,
J150317.26+012312.1,0.20085040793644746,2,c
J153055.05+533337.4,0.061357628266510124,b,
J152535.60+483550.8,0.1253954622220344,c,
J115917.92+564336.3,0.17965905461068002,2,
J123303.78+524212.7,0.1309753017870997,1,
J155214.27+481029.7,0.09015393629111694,d,
J105408.24+002139.7,0.06663019730758404,d,
J122625.17+554942.1,0.09173598866914626,f,
J090547.35+374738.3,0.3716321472323517,4,
J023436.21-002451.7,0.13021483116790378,1,
J115436.02+455536.8,0.0906761982091326,f,
J152500.85+025449.0,0.07916266167810017,a,
J145249.24+583334.9,0.11207135309923774,f,
J004542.68-103745.5,0.2962941134935928,c,
J132401.71+584713.4,0.1156895116711102,f,
J100819.11+372903.4,0.12621872728855715,e,
J114905.03+132140.7,0.12006094988228776,1,
J005059.24-003129.2,0.10003259101800424,f,
J145313.15+534922.5,0.09765776381750316,c,
J090821.74+432318.4,0.09814265810509083,a,
J090005.05+000446.7,0.09783041031964164,f,
J142859.56+605000.5,0.07853682519555996,f,
J085828.60+003813.6,0.09711117661483168,1,
J002903.06-110348.3,0.1137494038489842,f,
J083902.96+470756.3,0.11795789141936168,2,
J120443.45-033304.9,0.17234326764941932,2,
J105208.20+060915.2,0.07910349995412236,f,
J110752.55+110042.3,0.11528557753036152,d,
J225600.96+000335.7,0.12359400514433025,d,
J024024.87-085934.0,0.11500785278447467,c,
J110602.37+431024.5,0.0990609544038742,a,
J125950.27+620409.9,0.10026267148079328,f,
J010211.33+143021.8,0.18687309637323246,c,2
J140155.23+513110.3,0.07570540520336891,b,
J101632.58+013202.2,0.1508881106694218,a,
J153607.02-020642.4,0.08037066807762824,b,
J105114.42+410229.9,0.12043695134757715,b,
J160939.36+502246.1,0.0835803756913708,f,
J103855.95+392157.6,0.060341026208297524,b,
J213932.41-080309.8,0.18533312412703104,c,
J163705.21-002224.1,0.069401796390981,b,
J142818.40+010746.5,0.16483515785138744,d,
J103851.06+391410.6,0.07721587802190727,d,
J093515.24+095422.4,0.11179622007833076,b,
J002930.15+152325.8,0.10675861025929867,f,
J221203.51-073444.2,0.2074685068490455,3,
J161354.27-003654.2,0.09991944279893968,b,
J154847.04+093126.6,0.1065873310084869,1,2
J095150.14+082213.9,0.09630339254295492,2,
J083816.15+524459.4,0.13739510209990485,d,
J121000.38+103628.9,0.08785715109121378,a,
J165745.06+172653.6,0.1047378519539495,f,
J112625.88-015240.8,0.13295187133644984,d,
J101706.83+093622.5,0.07856449866201666,b,
J100055.21+022343.9,0.07559358769245911,b,
J085827.42+503243.2,0.1119651377062908,a,
J132313.62+401214.3,0.17841625105005354,3,
J161532.05+314933.7,0.13119860728092378,d,
J120433.82+541923.7,0.12070794448012505,b,
J130452.67+513651.3,0.12051820023779575,b,
J161243.06+002247.9,0.09806352682135126,f,
J145750.61+535711.4,0.11117454445976784,d,
J003937.83-001943.6,0.12287325173302388,d,
J090537.70+383705.7,0.07797357065920438,f,
J090100.07+310526.5,0.06450111138944811,d,
J213652.09-070433.4,0.10930456711386186,3,?
J151204.94+000116.7,0.10513815811536804,c,
J212537.90-071938.5,0.12521844640226462,b,
J212928.98-001310.6,0.10185908924729636,f,
J091520.53+430054.4,0.1440614461767815,d,
J143616.85-012313.1,0.15209603951519515,1,
J084747.97+003913.4,0.08713358487617641,b,
J141555.71+043319.1,0.15269079832283294,1,
J082942.43+062317.8,0.17755006604185414,1,
J163501.68+330658.1,0.1351607145515836,1,
J165141.70+414006.2,0.14013545616880044,e,
J163557.98+314856.7,0.1457367492616323,e,d
J112751.20+443709.9,0.1209180947119359,2,
J111501.23+621444.6,0.17155841537315006,b,
J120716.43+045052.3,0.1331222542995675,f,
J082242.86+413100.4,0.12641977404206134,b,
J151506.22-021949.1,0.1574122339785187,c,
J232611.30+140148.1,0.06515179080321491,f,
