galaxyid,kind,ra,dec,z,app_mag,petro_abs_mag,central,lum_oiii,gz2id,gz2class
267733,type1,129.38627,28.705196,0.011585,12.486550366656154,-20.2363625,1,39.545662,201.0,SBb+t
19263,type1,52.55526500000001,-5.54335,0.013147,12.846555740664199,-20.153591199999997,1,39.136555,,
262919,type1,146.37237,9.602897,0.013277,14.486804338547053,-18.5349236,1,40.225188,7973.0,SBb
298636,type1,224.27832999999998,49.669019,0.013399000000000001,12.972621394560685,-20.06917,0,39.383223604741374,655.0,Sb2m
184971,type1,185.92837,58.246151,0.014527000000000003,15.381575499839931,-17.8375931,0,39.934197116119684,29372.0,Sc
236935,type1,238.22016000000002,40.646728,0.015106999999999999,13.385783366808909,-19.9193516,1,39.688551,1198.0,SBc4t
206997,type1,147.63815,44.314381,0.015319,13.82766523204016,-19.5080795,0,39.65080305025902,3096.0,Ei
252287,type1,121.4111,26.16819,0.016953,13.445780442298286,-20.11273,1,39.859901,1238.0,SBc+t
112839,type1,165.6387,-0.29101,0.017294,15.235247122062356,-18.367067300000002,1,38.577423,23342.0,Er
19107,type1,53.74168,-5.814796,0.018324,15.501004498828163,-18.2286224,1,38.998348,,
428296,type1,17.747137,0.433651,0.018843000000000002,15.347415180474727,-18.4437103,1,39.542947,24555.0,Ei
22153,type1,180.3098,-3.678067,0.019549,14.270853564697545,-19.6012993,1,40.825358,5878.0,Ei
232941,type1,171.40069,54.382555,0.020641999999999997,15.208930596982455,-18.783144,1,40.493327,19869.0,Ei(m)
105865,type1,180.7409,4.84585,0.020675,13.554387385978648,-20.4412098,1,39.634736,1516.0,SBc2t
334642,type1,169.03189,41.398105,0.020843,14.484172826257241,-19.529272100000004,1,39.571875,7650.0,Er
257222,type1,176.37607,9.7291,0.021371,14.496762301533826,-19.571867,1,39.17394899999999,8035.0,SBb(r)
115655,type1,201.11768,4.774889,0.02143,15.383275337096133,-18.6914368,1,39.576382,28854.0,Ei
170789,type1,126.29263,37.988820000000004,0.021431,14.754061993825145,-19.3207531,1,40.416423,10149.0,Ec
223907,type1,144.5511,7.727792,0.021894999999999998,14.480638739840836,-19.6414452,1,40.055331,7850.0,Er
455252,type1,204.56613000000002,4.542593,0.022975,12.843356707936707,-21.3850384,1,40.967855,482.0,Ec
99868,type1,150.52933000000004,3.057686,0.023176,14.041168253569596,-20.2064686,1,40.305552,3389.0,SBb(r)
227784,type1,184.47907,58.659912,0.023253,14.866531118860802,-19.388433499999998,1,40.328483,12863.0,Ei
85943,type1,121.92081,39.004246,0.023496,13.872178404969366,-20.405756,1,40.627671,3098.0,Sb2l
59940,type1,185.85057,2.679011,0.023579,14.539829261280756,-19.7458973,1,40.240788,8965.0,Ei
231434,type1,196.58738,53.30644399999999,0.023679,15.05788875898925,-19.2371902,1,39.094529,18184.0,Ei
109012,type1,206.63388999999998,64.390328,0.024094,15.25567441474427,-19.0778065,1,40.749889,20896.0,Er
286138,type1,178.42407,46.211737,0.024415,14.487312046753535,-19.8754292,1,40.171594,6671.0,SBb2m(r)
149061,type1,210.16903,-1.921744,0.024997,15.29175074385411,-19.123090700000002,1,41.032434,25825.0,Er(o)
27053,type1,141.16204,56.12971999999999,0.025041,14.130084998326645,-20.2886467,1,40.04399,3735.0,Sc2l
121194,type1,251.83947999999998,44.702717,0.025651,15.432631357270038,-19.0393524,1,39.15529100000001,29661.0,Er
197714,type1,171.65725,51.573064,0.026443,15.388625606821625,-19.1506729,1,39.802217,25640.0,SBb
200464,type1,120.08743999999999,26.613535,0.026773,13.245284261556993,-21.321479800000002,1,40.883203,1012.0,SBb2m
346383,type1,203.20292,41.871832,0.027065,13.471322613840165,-21.1194687,1,39.752814,1401.0,Sc+m
177677,type1,175.93235,55.005366,0.027067,17.130805205552804,-17.460149800000003,1,39.592879,,
69839,type1,10.175425,-11.166005,0.027287,16.86561244228514,-17.7432766,1,38.970053,,
399753,type1,211.82619,12.887215,0.027368,14.558678326068744,-20.056778,1,39.52268,8771.0,Er
495191,type1,244.12782,35.708015,0.027742000000000003,13.549407607885039,-21.0961266,0,40.40471169601295,1590.0,SBc?t(r)
212735,type1,169.74036999999996,58.05655400000001,0.027872000000000004,15.056475528584723,-19.599420499999997,1,40.348856,18438.0,Er
114963,type1,218.71095,3.6451629999999997,0.028165,14.91205608096993,-19.7670212,0,39.588129179600614,13439.0,Sb2t
29633,type1,258.82738,57.65878299999999,0.028176999999999997,14.772482236494394,-19.907539399999997,0,40.148506947369754,11915.0,Ser
245724,type1,245.05315,40.15172000000001,0.028475999999999998,14.81305221062501,-19.8903732,1,40.03786699999999,13306.0,Ei
23100,type1,175.28149,-2.819687,0.028737000000000002,14.928881834127292,-19.7947769,1,39.525961,13043.0,Sc?t
157810,type1,264.53876,58.714904000000004,0.028761000000000002,14.33673341891672,-20.388776800000002,1,39.606701,5130.0,SBb(r)
257116,type1,168.45725,9.586292,0.028968999999999998,13.368843193726908,-21.3726501,1,40.683095,1337.0,SBb(d)
406361,type1,216.76896000000002,35.902656,0.029031,14.966870228828055,-19.7793655,1,39.874992000000006,15486.0,SBb
257108,type1,168.22701,9.513991,0.029075,15.350972811542325,-19.398622500000002,0,38.926335723861754,27719.0,Ei
164095,type1,262.99672999999996,59.971676,0.029195999999999996,15.204492943455467,-19.554315600000002,0,39.720020389480545,22046.0,Er
214494,type1,196.5632,58.959224,0.029207999999999998,16.400980312575914,-18.358739899999996,1,39.77038500000001,120641.0,Ec
765,type1,171.03603,-1.1577620000000002,0.029287999999999998,14.360379745596035,-20.405408899999998,1,40.872813,6564.0,Sb2t(r)
49582,type1,198.2742,1.465541,0.029361,15.103511038211265,-19.6678009,1,39.935022,19586.0,Sb(r)
72646,type1,42.303616999999996,-8.257135,0.029439,15.839500292447395,-18.9376984,0,39.73737697367071,,
38775,type1,129.51531,54.111729000000004,0.029462000000000002,17.119301813636678,-17.6596298,1,38.96807,,
526663,type1,349.56529,0.261179,0.029773,14.109386310496228,-20.6928482,1,40.017391,3805.0,Sb2l
236692,type1,220.88029,49.393125,0.030161,14.23880427382225,-20.5921707,1,39.368887,5336.0,Ser
119311,type1,233.96835,57.902639,0.030319,14.721160769828836,-20.1214142,1,41.493527,,
316290,type1,189.21325,45.651162,0.030418999999999998,14.1677572970159,-20.6821289,1,40.586452,4335.0,SBb4t
207414,type1,184.02955,50.825021,0.030808,14.559503247039387,-20.3186016,0,41.25773930512772,8726.0,SBb
251395,type1,47.142961,0.550924,0.030824,14.912983730663528,-19.966274300000002,0,39.58820056864153,14637.0,Er
393912,type1,239.79012000000003,35.029857,0.031002999999999996,13.814852784247213,-21.0772667,1,40.563345,3024.0,SBb2m
419287,type1,116.28022,46.07242,0.031301,13.820544162863815,-21.0928268,1,39.751846,2807.0,Sb(r)
167723,type1,350.3533,-0.9856540000000001,0.031427,14.683788802704251,-20.2385082,0,39.125415965521995,9027.0,Sb
287743,type1,165.0668,46.270893,0.031777,16.211639579738296,-18.7352695,1,40.475261,76373.0,Sc2t
416723,type1,347.33443,0.7565149999999999,0.032279,13.837374073435907,-21.1443768,1,40.189198,2713.0,SBb3m
249234,type1,244.86587999999998,39.975635,0.032389999999999995,15.154216472452235,-19.8351669,1,39.202251,17885.0,Sb
236923,type1,236.93393999999998,41.4023,0.032609,14.709901374203858,-20.294466,1,40.948244,10918.0,Ei
58741,type1,207.47018,2.079195,0.032847,14.955629314861927,-20.0649109,1,41.294714,15211.0,Sb(r)
151649,type1,250.19009,43.282449,0.033152999999999995,15.771135382852588,-19.270031,1,39.692964,54591.0,Ei
261756,type1,171.61972,47.414958,0.03333,16.488473433901216,-18.564539,1,40.067702000000004,126389.0,Er
97918,type1,118.85538999999999,39.186094,0.033513,14.261143187468955,-20.804052399999996,1,40.732576,5822.0,SBb?m(r)
248119,type1,245.94118999999998,41.082333,0.033522,15.242991480650813,-19.822801600000002,1,41.292815,22364.0,Er
