galaxyid,kind,ra,dec,z,app_mag,petro_abs_mag,central,lum_oiii,gz2id,gz2class
25061,type2,146.62857,-0.76513683,0.0646826,16.619021947840878,-19.922863,1,39.42642137050072,150919.0,Ser
25503,type2,147.32951,0.028902695,0.0480914,15.507070259718326,-20.3655033,1,39.46097259800106,34354.0,SBb2m
25059,type2,146.44831000000005,-0.71339967,0.114683,17.261348665799698,-20.59799,1,40.778391307406615,,
25287,type2,146.90125,-0.4131573,0.0565705,16.811931670723528,-19.4264717,1,39.53427563371001,192515.0,Ei
10132,type2,146.85967,-0.09893862699999999,0.125426,17.640902966756357,-20.4280853,1,40.315003594750756,,
8731,type2,146.74174,-0.52469154,0.131474,17.630562237595587,-20.5491486,1,40.43588687210044,,
8730,type2,146.62966,-0.46568888,0.0893659,16.777215596509322,-20.503726999999998,1,39.82248829687228,160178.0,Sb
25271,type2,146.37378,-0.36838682,0.05326519999999999,16.03963000132693,-20.0629082,0,39.77622451877205,59767.0,Sb?l(m)
10122,type2,146.29988,-0.12001413,0.0306548,15.025787642866113,-19.841245699999998,1,40.06644539966328,15288.0,Sc?t
25269,type2,146.32958,-0.30622363,0.0364533,16.446643229838394,-18.8058701,1,39.46343781335748,112181.0,Sc?t
10120,type2,146.16563,-0.064166288,0.0632586,16.787478673019937,-19.7038841,0,39.57616976278258,186525.0,Ei
10117,type2,145.99396000000004,-0.13584762,0.06307019999999999,16.667336117992896,-19.8172607,1,39.379370714712856,158142.0,Sb
25054,type2,145.75973,-0.81389214,0.0676153,15.949057808503824,-20.6935959,1,41.014298,60520.0,Ser(o)
10108,type2,145.6012,-0.001388682,0.145725,16.944842314904626,-21.4779968,1,40.803583407035134,209900.0,Ser
8724,type2,145.39427,-0.55765535,0.125894,17.480938746733376,-20.5967941,1,40.50112228560505,,
25458,type2,145.42694,0.049536734000000006,0.0908857,17.062034795685154,-20.2577705,1,39.74468940627354,,
7203,type2,145.1963,-0.87997986,0.11866900000000001,17.614503269106873,-20.324695600000002,1,40.08823068387963,,
25460,type2,145.47131000000005,0.15515025,0.122281,17.08475366513656,-20.9246635,1,41.236279703108785,,
13079,type2,146.01513,0.8235056999999999,0.12328,16.990490186206912,-21.0380039,0,40.14376258645291,205616.0,Sb
25684,type2,145.79259,0.52472729,0.12232699999999999,17.68409449032751,-20.3262043,1,40.36190680539136,,
11634,type2,145.80019,0.41417226,0.0251904,14.312082756223193,-20.119808199999998,1,38.914134667798045,4767.0,Sen
25687,type2,145.94781,0.46529716,0.030433699999999998,15.136054163318255,-19.7149048,1,38.93422811103197,20711.0,Ei
25493,type2,146.58882,0.17259960000000002,0.057448,16.245302939311266,-20.027883499999998,1,39.48762004064747,80998.0,Ei
13091,type2,146.8068,0.66563514,0.0200467,17.030034118207375,-16.897523899999996,0,38.804539987694696,,
112324,type2,148.73288,-0.76115921,0.08632360000000001,15.93826210064326,-21.2629623,1,39.824264752664476,59673.0,Ei
63015,type2,149.19127,-0.25953399,0.07072460000000001,16.59002451051752,-20.154987300000002,1,40.17876272378825,,
10166,type2,149.15457,-0.11572062,0.166962,17.728198029149436,-21.0186424,1,40.46818890103193,,
7233,type2,148.39456,-0.88771162,0.13722,17.069158854460746,-21.211412399999997,1,40.706473106981576,,
10160,type2,148.97947,-0.19030594,0.020987099999999998,15.696081471257575,-18.332559600000003,1,38.462592023747796,43101.0,Ser
10158,type2,148.95481,-0.0020917873,0.124852,17.607095086710814,-20.451126100000003,1,40.095433805149796,,
25306,type2,148.12516000000005,-0.41786911,0.051805899999999995,15.761696607743414,-20.278245899999998,1,39.25662195826367,42234.0,Ei
25513,type2,147.78785,0.0098501986,0.132996,17.071309083616722,-21.1355133,1,40.52573696022032,227009.0,SBa+t
