name,gz2class,smooth,completely_round,in_between,cigar_shaped,features_or_disks,edge_on,round_bulge_shape,boxy_bulge_shape,none_bulge_shape,bar,none_bulge_prominence,just_noticeable_bulge_prominence,obvious_bulge_prominence,dominant_bulge_prominence,spiral_structure,odd_feature,ring,lens_arc,disturbed,irregular,other,merge,dust,star
J083732.70+284218.7,SBb+t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J083732.70+284218.7,SBb+t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J083732.70+284218.7,SBb+t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J083732.70+284218.7,SBb+t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J083732.70+284218.7,SBb+t,,,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
J094529.37+093610.4,SBb,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
J094529.37+093610.4,SBb,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
J094529.37+093610.4,SBb,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
J094529.37+093610.4,SBb,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
J094529.37+093610.4,SBb,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,
J145706.80+494008.5,Sb2m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J145706.80+494008.5,Sb2m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J145706.80+494008.5,Sb2m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J145706.80+494008.5,Sb2m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J145706.80+494008.5,Sb2m,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
J155252.84+403848.2,SBc4t,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
J155252.84+403848.2,SBc4t,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
J155252.84+403848.2,SBc4t,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,
