name,z,flux,luminous
J231221.42+143633.8,0.0162342,-14.0604,39.711397
J010709.16-003718.1,0.017739599999999998,-14.717062,39.13275
J001947.33+003526.9,0.0177407,-13.619667000000002,40.230199
J132505.37-005411.2,0.0180788,-14.706028,39.160458
J101006.19+120214.3,0.0182782,-15.312627,38.563517
J153838.50+365730.1,0.0186078,-14.366337,39.52554600000001
J093917.26+363343.9,0.0197165,-13.770898999999998,40.171979
J114422.81+082315.1,0.0199703,-14.385659,39.568495
J082854.33+343906.0,0.020921900000000004,-13.937904,40.057304
J034545.16-071526.9,0.0216551,-13.71483,40.310775
J100213.84+114120.5,0.0219842,-14.700287,39.338633
J103443.72+110310.7,0.022187400000000003,-14.887967000000002,39.159077
J085333.60+394537.3,0.023416,-14.501356,39.5933
J135314.12+002650.2,0.0244875,-14.464272,39.669944
J130905.60+113802.9,0.0251973,-14.413647,39.745849
J115704.55+434937.6,0.0252319,-14.375182999999998,39.785527
J082443.29+295923.6,0.0253248,-13.056163,41.1078
J113148.60+005147.7,0.0253608,-15.160066,39.005154
J141026.83-004956.6,0.0255217,-14.155956,40.014861
J112301.31+470308.7,0.0255233,-13.341247,40.829626
J232327.04+141933.1,0.025628300000000003,-14.304462,39.87004500000001
J113209.24-005633.4,0.026154000000000004,-14.616552,39.575932
J015612.53+145423.9,0.0269914,-13.740127,40.480274
J090131.21+491931.4,0.0273717,-15.032573,39.20022700000001
J171934.81+563748.1,0.0273728,-14.60381,39.629025
J133817.77+481641.1,0.0278113,-13.351242,40.895681
J030632.00-062521.2,0.028027,-15.342586,38.911187
J131835.67+140248.5,0.028492400000000005,-15.175672,39.092706
J110338.36-005208.4,0.0286088,-14.664459,39.607535
J225900.18+132951.7,0.0287293,-13.866631,40.409092
J100504.46+033734.9,0.0287587,-14.673214000000002,39.603416
J075953.49+232324.2,0.0291703,-13.990604,40.298635
J134640.80+522836.6,0.0292307,-13.586054,40.705021
J080359.20+234520.5,0.0293969,-13.283554,41.012553
J143143.18-021248.8,0.0295117,-14.21313,40.086436
J220316.00+003415.9,0.0301422,-13.793435999999998,40.524898
J080547.35+225434.9,0.030256,-13.897932999999998,40.423747
J123804.16+482042.3,0.0305055,-14.069332,40.259642
J082253.84+055615.5,0.0306668,-14.653864000000002,39.679794
J023310.79-074813.4,0.030938,-14.145854,40.195626
J153908.88+322425.4,0.0313468,-14.478001,39.875144
J084707.73+045127.7,0.031503300000000005,-15.408551,38.94902
J100008.40+005905.3,0.0318648,-13.897499,40.470215
J080707.18+361400.5,0.0322888,-13.624154,40.755314
J112221.15+462549.8,0.0323178,-14.770821,39.609445
J011905.14+003745.0,0.0326528,-14.763903,39.625535
J104833.59+475914.7,0.0332144,-13.692332,40.712279
J110326.80+664011.0,0.0333292,-14.053554,40.35412700000001
J121451.24-032922.2,0.0335214,-13.788122,40.624677
J164107.64+224924.8,0.0338842,-13.783554999999998,40.638826
J143318.48+344404.4,0.0343207,-14.288568,40.145211
J095914.76+125916.5,0.0343523,-13.073633,41.360965
J133612.18+044424.3,0.0343574,-14.477626,39.957104
J003735.81+001650.5,0.0349309,-13.756058,40.693418
J083057.51+421230.2,0.0351916,-14.950931,39.50517
J031100.77-082528.3,0.0353143,-14.168994,40.290209
J004214.99-104414.9,0.0359102,-14.451366,40.022752
J080318.20+314634.9,0.0363939,-14.741554,39.744494
J105546.79+440258.8,0.0371108,-14.453925,40.049524
J144632.40+490038.0,0.0371413,-13.989703,40.514479
J081455.56+503945.6,0.037291500000000005,-14.21635,40.29143300000001
J153048.75-013558.3,0.0373864,-14.892344,39.617707
J164128.36+381608.4,0.0387255,-14.397031,40.14444
J111943.96+073529.0,0.039289300000000006,-14.025524,40.52886
J112625.88-015240.8,0.0394284,-14.841772,39.71577
J105120.86+012307.5,0.0394803,-14.911055,39.647662
J133853.41+004519.4,0.0396392,-15.193067,39.36924000000001
J110621.38+502316.8,0.0398639,-13.751688,40.815672
J090130.95+414633.5,0.04002619999999999,-14.594838,39.976154
J154847.04+093126.6,0.0402776,-14.99611,39.58048
J081535.09+264143.5,0.0403061,-14.861132,39.71609
J001529.74+003823.2,0.0403745,-14.371126,40.207612
J134638.95+550532.2,0.040443900000000005,-14.717274,39.863
J104852.92+480314.8,0.040949,-13.890812,40.700563
J112800.49+110929.8,0.0409766,-13.80694,40.785038
J144921.59+631613.9,0.0415767,-13.538522,41.066464
J073548.83+401938.3,0.0421262,-13.589625,41.02711400000001
J095654.01+052140.0,0.0422704,-14.87746,39.742338
J150126.33+020410.8,0.0424461,-13.719851,40.903661
J112757.53-011240.2,0.0426867,-14.201318,40.427256
J100135.81+033647.8,0.0426907,-14.230518,40.39814000000001
J160406.98+443259.1,0.0429714,-14.332193,40.302335
J114857.77+112718.4,0.043232199999999985,-14.773057,39.866891
J011654.72-102202.7,0.0432372,-15.091417000000002,39.548635
J102944.63+402937.8,0.0439301,-14.181497,40.472801
J123917.81+513833.5,0.0441083,-15.060498999999998,39.597428
J100604.28+534253.5,0.044273800000000016,-13.772214000000002,40.889071
J161243.06+002247.9,0.0445094,-14.634828,40.031215
J163705.21-002224.1,0.0448352,-15.347879,39.324704
J012839.88+144553.8,0.0450311,-13.956392,40.720102
J221741.62+000907.5,0.0450931,-14.561215,40.116513
J165922.66+204947.5,0.045116,-14.829099,39.84908400000001
J094830.01+553822.7,0.0452398,-13.835179,40.845462
J022243.58-084308.3,0.0455059,-14.085571,40.600332
J090432.91+581719.8,0.045537400000000006,-14.983326000000002,39.703198
J010957.04-004212.7,0.045539300000000005,-14.095769,40.590792
J085221.86+375108.3,0.0456799,-14.152337,40.53699
J112640.67-014137.7,0.0463985,-13.717445,40.985892
J113237.00+014915.3,0.0465789,-13.936055,40.770766
J022938.59+002313.7,0.0467715,-14.907868,39.802658
J221148.27-003500.2,0.0467727,-15.346595,39.363954
