NAME1     SPEC1    RA1      DEC1     Z1       LOGL1_5007    NAME2   SPEC2    RA2      DEC2     Z2     LOGL2_5007   
J011059.31+002601.1  51794-0397-474       17.747137      0.43365100     0.018843000       39.542947     J110338.36-005208.4  51908-0277-049       165.90984     -0.86900692     0.028608800       39.607535    
J011059.31+002601.1  51794-0397-474       17.747137      0.43365100     0.018843000       39.542947     J110338.36-005208.4  51908-0277-049       165.90984     -0.86900692     0.028608800       39.607535    
J011059.31+002601.1  51794-0397-474       17.747137      0.43365100     0.018843000       39.542947     J110338.36-005208.4  51908-0277-049       165.90984     -0.86900692     0.028608800       39.607535    
J120114.35-034041.0  52368-0331-121       180.30980      -3.6780670     0.019549000       40.825358     J225900.18+132951.7  52263-0742-261       344.75075       13.497688     0.028729300       40.409092    
J120114.35-034041.0  52368-0331-121       180.30980      -3.6780670     0.019549000       40.825358     J225900.18+132951.7  52263-0742-261       344.75075       13.497688     0.028729300       40.409092    
J120114.35-034041.0  52368-0331-121       180.30980      -3.6780670     0.019549000       40.825358     J225900.18+132951.7  52263-0742-261       344.75075       13.497688     0.028729300       40.409092    
J120114.35-034041.0  52368-0331-121       180.30980      -3.6780670     0.019549000       40.825358     J225900.18+132951.7  52263-0742-261       344.75075       13.497688     0.028729300       40.409092    
J120114.35-034041.0  52368-0331-121       180.30980      -3.6780670     0.019549000       40.825358     J225900.18+132951.7  52263-0742-261       344.75075       13.497688     0.028729300       40.409092    
J112536.17+542257.2  52707-1014-302       171.40069       54.382555     0.020642000       40.493327     J001947.33+003526.9  51900-0390-374       4.9472132      0.59079485     0.017740700       40.230199    
J112536.17+542257.2  52707-1014-302       171.40069       54.382555     0.020642000       40.493327     J001947.33+003526.9  51900-0390-374       4.9472132      0.59079485     0.017740700       40.230199    
J112536.17+542257.2  52707-1014-302       171.40069       54.382555     0.020642000       40.493327     J001947.33+003526.9  51900-0390-374       4.9472132      0.59079485     0.017740700       40.230199    
J112536.17+542257.2  52707-1014-302       171.40069       54.382555     0.020642000       40.493327     J001947.33+003526.9  51900-0390-374       4.9472132      0.59079485     0.017740700       40.230199    
J112536.17+542257.2  52707-1014-302       171.40069       54.382555     0.020642000       40.493327     J001947.33+003526.9  51900-0390-374       4.9472132      0.59079485     0.017740700       40.230199    
J120257.82+045045.1  52376-0842-436       180.74090       4.8458500     0.020675000       39.634736     J171934.81+563748.1  51997-0367-444       259.89506       56.630038     0.027372800       39.629025    
J120257.82+045045.1  52376-0842-436       180.74090       4.8458500     0.020675000       39.634736     J171934.81+563748.1  51997-0367-444       259.89506       56.630038     0.027372800       39.629025    
J120257.82+045045.1  52376-0842-436       180.74090       4.8458500     0.020675000       39.634736     J171934.81+563748.1  51997-0367-444       259.89506       56.630038     0.027372800       39.629025    
J120257.82+045045.1  52376-0842-436       180.74090       4.8458500     0.020675000       39.634736     J171934.81+563748.1  51997-0367-444       259.89506       56.630038     0.027372800       39.629025    
J120257.82+045045.1  52376-0842-436       180.74090       4.8458500     0.020675000       39.634736     J171934.81+563748.1  51997-0367-444       259.89506       56.630038     0.027372800       39.629025    
J111607.65+412353.2  53003-1439-597       169.03189       41.398105     0.020843000       39.571875     J114422.81+082315.1  53137-1620-568       176.09505       8.3875392     0.019970300       39.568495    
J111607.65+412353.2  53003-1439-597       169.03189       41.398105     0.020843000       39.571875     J114422.81+082315.1  53137-1620-568       176.09505       8.3875392     0.019970300       39.568495    
J111607.65+412353.2  53003-1439-597       169.03189       41.398105     0.020843000       39.571875     J114422.81+082315.1  53137-1620-568       176.09505       8.3875392     0.019970300       39.568495    
J111607.65+412353.2  53003-1439-597       169.03189       41.398105     0.020843000       39.571875     J114422.81+082315.1  53137-1620-568       176.09505       8.3875392     0.019970300       39.568495    
J111607.65+412353.2  53003-1439-597       169.03189       41.398105     0.020843000       39.571875     J114422.81+082315.1  53137-1620-568       176.09505       8.3875392     0.019970300       39.568495    
J114530.26+094344.8  52734-1226-199       176.37607       9.7291000     0.021371000       39.173949     J132505.37-005411.2  51959-0297-218       201.27236     -0.90310404     0.018078800       39.160458    
J114530.26+094344.8  52734-1226-199       176.37607       9.7291000     0.021371000       39.173949     J132505.37-005411.2  51959-0297-218       201.27236     -0.90310404     0.018078800       39.160458    
J114530.26+094344.8  52734-1226-199       176.37607       9.7291000     0.021371000       39.173949     J132505.37-005411.2  51959-0297-218       201.27236     -0.90310404     0.018078800       39.160458    
J114530.26+094344.8  52734-1226-199       176.37607       9.7291000     0.021371000       39.173949     J132505.37-005411.2  51959-0297-218       201.27236     -0.90310404     0.018078800       39.160458    
J114530.26+094344.8  52734-1226-199       176.37607       9.7291000     0.021371000       39.173949     J132505.37-005411.2  51959-0297-218       201.27236     -0.90310404     0.018078800       39.160458    
J132428.24+044629.6  52375-0852-394       201.11768       4.7748890     0.021430000       39.576382     J085333.60+394537.3  52703-1199-310       133.39002       39.760373     0.023416000       39.593300    
J132428.24+044629.6  52375-0852-394       201.11768       4.7748890     0.021430000       39.576382     J085333.60+394537.3  52703-1199-310       133.39002       39.760373     0.023416000       39.593300    
J132428.24+044629.6  52375-0852-394       201.11768       4.7748890     0.021430000       39.576382     J085333.60+394537.3  52703-1199-310       133.39002       39.760373     0.023416000       39.593300    
J132428.24+044629.6  52375-0852-394       201.11768       4.7748890     0.021430000       39.576382     J085333.60+394537.3  52703-1199-310       133.39002       39.760373     0.023416000       39.593300    
J132428.24+044629.6  52375-0852-394       201.11768       4.7748890     0.021430000       39.576382     J085333.60+394537.3  52703-1199-310       133.39002       39.760373     0.023416000       39.593300    
J082510.23+375919.8  52589-0893-628       126.29263       37.988820     0.021431000       40.416423     J080547.35+225434.9  52943-1584-400       121.44728       22.909688     0.030256000       40.423747    
