name,ra,dec,z,flux_oiii,petro_abs_mag,central
J095343.90-000524.6,148.43291000000002,-0.090180392,0.08339730000000001,-15.073745,-20.5795631,0
J095631.62+011500.8,149.13175,1.2502266000000002,0.06676649999999999,-15.597000000000001,-20.1915646,1
J095629.19+004232.1,149.12163999999999,0.70892345,0.09591039999999999,-15.469632,-20.8961906,1
J095651.39+001231.8,149.21414,0.20882805,0.0650878,-15.028367000000001,-21.720298800000002,1
J095633.32+003837.0,149.13884,0.64360922,0.109141,-15.299980999999999,-20.2361755,1
J095647.46+011523.9,149.19776000000002,1.2566427,0.0636381,-15.085556,-20.4906063,1
J095830.03+011055.1,149.62511,1.1819846,0.062093899999999994,-15.38896,-20.404714600000002,1
J095745.12+005141.4,149.43801000000002,0.8615036,0.0973347,-15.531104000000001,-21.8663845,1
J095849.86+000941.2,149.70775,0.16144659,0.0472869,-15.598660999999998,-19.1099262,1
J100024.37+004216.5,150.10153,0.70459403,0.0334972,-14.82244,-20.985303899999998,1
J100107.76+005111.8,150.28233,0.85327478,0.124026,-15.575135999999999,-21.9292717,1
J095948.05+004648.4,149.95019,0.78012107,0.0877467,-15.522757,-20.078859299999998,1
J100008.40+005905.3,150.03499,0.9847942,0.0318648,-13.897499,-18.9673004,1
J100121.22+000925.6,150.33843000000002,0.15710264,0.0920731,-14.817129000000001,-19.908720000000002,1
J100743.91-000820.9,151.93295,-0.13914898,0.0677953,-15.477301999999998,-20.3491421,1
J100705.58-001136.9,151.77327,-0.19357136,0.189249,-15.522132000000001,-21.7198982,1
J100323.91-000140.6,150.84964,-0.027941251,0.09313660000000001,-15.399632,-20.5140839,1
J100204.09+004115.1,150.51703,0.6875303,0.0451209,-15.58257,-19.84021,1
J100312.82+010856.1,150.80341,1.148911,0.067615,-15.136619,-19.9764729,0
J100158.82+004254.9,150.49508,0.71524319,0.06253819999999999,-15.616831,-19.8259945,1
J100414.06+001546.2,151.05858999999998,0.26283874,0.067194,-15.239138,-19.844923,1
J100356.27+004859.8,150.98446,0.81661237,0.0461425,-13.988276,-19.2438622,0
J100343.46+004216.9,150.93108999999998,0.70469435,0.0322277,-15.041635999999999,-18.4889793,1
J100448.27+004606.2,151.20111,0.76838655,0.0681815,-15.438212,-20.3082561,1
J100646.53+001724.4,151.69388,0.29010167,0.09713530000000001,-15.331579999999999,-20.459867499999998,1
J100442.39+011158.3,151.17661,1.1995308,0.0824028,-15.453370999999999,-20.3312111,0
J100734.14+001638.1,151.89223,0.27724718,0.0334305,-15.194427,-19.8793507,0
J101346.82-005451.2,153.44509,-0.91421698,0.0426417,-14.072122,-20.703268100000003,0
J101422.96-003731.2,153.59565,-0.6253347,0.086161,-15.639584,-21.529609699999998,1
J101041.10-010116.5,152.67123999999998,-1.021249,0.0444514,-15.567847,-19.5475025,1
J100757.31-005612.3,151.98881,-0.93674695,0.155013,-15.531165,-20.936615,1
J100831.99-004000.8,152.13329,-0.66688733,0.0215146,-15.153314000000002,-20.086628,1
J100935.71+011145.2,152.39879,1.195886,0.185995,-15.501639,-21.6238365,1
J101112.05+004926.9,152.8002,0.8241363000000002,0.12707000000000002,-15.179345000000001,-20.383249300000003,1
J101415.96+000430.3,153.56648,0.075081345,0.10313800000000001,-15.499095,-20.1274509,1
J101202.09+005252.1,153.0087,0.88113168,0.123173,-14.917451000000002,-20.4977074,1
J102108.18-005119.1,155.28408000000002,-0.85529385,0.1265,-14.481159,-21.410318399999998,1
J102008.10-004751.0,155.03376,-0.79749571,0.05588049999999999,-15.022669,-20.750486399999996,1
J102137.37-002345.6,155.40572,-0.39598983,0.075276,-15.27655,-20.2777882,1
J102207.37-000415.5,155.53071,-0.07096126,0.12546300000000002,-15.611532999999998,-20.8844395,1
J101908.67-010146.4,154.78614,-1.0295478999999998,0.0949139,-15.218287,-20.5325603,0
J102040.55-003942.3,155.16897,-0.66176376,0.09188860000000001,-15.510426,-20.3422794,1
J102059.56-001033.9,155.24815,-0.1760855,0.0559192,-15.333148999999999,-20.6215534,1
J101754.73-002811.8,154.47804,-0.46995351,0.18171600000000002,-14.134814000000002,-21.4986362,1
J101736.58-001351.6,154.40243,-0.23100337,0.11412,-14.972144,-20.4630203,1
J101713.02-001531.7,154.30426,-0.25879699,0.097982,-15.603335999999999,-20.2144718,1
J101626.37-001434.8,154.10987,-0.24298760000000003,0.0707958,-15.632636999999999,-20.4349861,0
J101600.62-000645.7,154.00259,-0.11270410000000002,0.0599946,-15.017824,-20.2416077,1
J101507.62+005842.3,153.78173,0.97841207,0.0714885,-15.465035,-20.458601,0
J101536.21+005459.4,153.90088,0.91651331,0.120299,-13.42857,-20.844518700000002,1
J101652.75+000240.5,154.21979,0.044587311,0.07214069999999999,-15.006115,-19.305254,0
J101653.62+000442.6,154.2234,0.078502824,0.07146849999999999,-15.627916,-20.445076,0
J101830.80+000505.0,154.62833,0.084729316,0.0623414,-15.202223000000002,-19.2884693,1
J101806.67+000559.8,154.52778,0.09994892,0.04841380000000001,-14.166712,-20.6338921,1
J101929.37-000114.6,154.87239,-0.020718353999999998,0.0929296,-14.455195000000002,-20.122812300000003,1
J101714.15+010943.7,154.30893999999998,1.1621464,0.0982756,-15.229919,-19.9718838,1
J101740.32+010848.4,154.41801,1.1467889999999998,0.18801700000000002,-15.603104,-21.149583800000002,1
J102039.39+000008.1,155.16412,0.0022595689000000003,0.053406100000000005,-15.432519000000001,-21.2771339,1
J102146.60+000320.1,155.44416,0.055572696,0.112071,-15.642619,-20.2942677,1
J102107.66+004057.4,155.2819,0.68260419,0.05539630000000001,-15.140723000000001,-21.1546726,1
J102725.57-004232.3,156.85655,-0.70898048,0.110525,-14.741816,-20.638496399999998,1
J102856.25-000202.2,157.23436999999998,-0.03394825,0.0946957,-15.541653,-20.5177021,0
J102955.37-000456.8,157.4807,-0.082453344,0.183367,-15.002067000000002,-21.5352268,1
J102632.72-005419.7,156.63634,-0.90546575,0.10253699999999999,-15.591142999999999,-21.022327399999998,1
J102706.03-001112.5,156.77513000000002,-0.18679218,0.0960794,-15.389176,-20.530592000000002,0
J102635.23-000157.9,156.64678999999998,-0.032751562000000005,0.11006300000000001,-14.297818,-20.502470000000002,1
J102447.09-001624.8,156.19619,-0.27355211,0.0964635,-14.993941,-20.155139899999998,1
J102327.39-001325.7,155.86411,-0.22381505,0.09565900000000001,-14.815064999999999,-20.5795879,0
J102310.98-002810.8,155.79575,-0.46967696,0.112613,-13.698494,-20.3305073,1
J102209.20-005937.1,155.53833999999998,-0.99364116,0.169436,-15.529292000000002,-21.345884299999998,1
J102143.30+011428.4,155.43042,1.2412261,0.07853710000000001,-13.912723999999999,-20.9125023,1
J102402.93+005633.4,156.01221999999999,0.94261848,0.0989318,-15.512227,-19.9681568,1
J102529.27+005548.9,156.37197,0.93025259,0.147049,-15.366067999999999,-20.937154800000002,1
J102621.14+004105.8,156.58808,0.68495794,0.0214326,-14.194004000000001,-19.580896399999997,1
J102548.38+010024.8,156.4516,1.0068925,0.0976148,-15.390264000000002,-20.844595,0
J102725.02+011430.3,156.85423,1.2417612,0.0220079,-14.947359,-19.2757931,0
J102714.05+004907.5,156.80853000000002,0.81874291,0.0316632,-14.927282,-18.5327015,1
J102853.13+000641.9,157.22136,0.11164492,0.095279,-15.354918,-21.3701611,1
J103632.24-002913.4,159.13433999999998,-0.48705558,0.159398,-15.269465,-21.6360168,1
J103333.73-010249.3,158.39053,-1.0470216,0.153061,-14.826464000000001,-21.0856171,0
J103529.02-002359.2,158.87091999999998,-0.39977503,0.0845663,-14.963161,-21.494339,1
J103522.28-002602.7,158.84283,-0.43408724,0.08338430000000001,-15.352520000000002,-19.5513573,0
J103223.03-003942.0,158.09595,-0.66166342,0.0545734,-15.314494,-19.841751100000003,1
J103412.18-002252.1,158.55077,-0.38113422,0.152969,-15.475589999999999,-21.2986832,1
J103300.69-002249.5,158.25288,-0.38042788,0.0552114,-15.641031,-20.174755100000002,1
J103319.82-003605.8,158.33258,-0.6016073000000001,0.0503391,-15.345826,-20.675296799999998,1
J103217.32-001945.6,158.07215,-0.32932776,0.0558247,-15.030235999999999,-20.9035206,1
J102924.97-000700.0,157.35404,-0.11667047,0.118396,-15.346986,-20.4488354,1
J103005.37-002858.2,157.52237,-0.48283647,0.0888834,-15.590116,-20.1860046,1
J102924.18-002655.8,157.35076999999998,-0.44884651,0.108177,-15.386028,-21.5930901,1
J102811.88-005518.2,157.04951,-0.92172324,0.0560586,-15.51816,-19.3357639,1
J102752.18+005112.2,156.9674,0.85339191,0.08965,-15.521101999999999,-21.0929146,1
J102645.03+000504.3,156.68761999999998,0.08452941,0.0960309,-15.085273999999998,-20.312251999999997,0
