name1,ra1,dec1,z1,lum_oiii1,petro_abs_mag1,central1,gz2id1,name2,ra2,dec2,z2,lum_oiii2,petro_abs_mag2,central2,gz2id2
J080538.66+261005.5,121.4111,26.16819,0.016953,39.859901,-20.11273,1.0,1238.0,J121808.09+060822.3,184.53372,6.1395386,0.018479,39.599680392250974,-20.1877403,1.0,1818.0
J080538.66+261005.5,121.4111,26.16819,0.016953,39.859901,-20.11273,1.0,1238.0,J150913.16+523142.4,227.30483999999998,52.528439,0.0117039,39.58522839749108,-20.122529999999998,1.0,223.0
J080538.66+261005.5,121.4111,26.16819,0.016953,39.859901,-20.11273,1.0,1238.0,J113209.24-005633.4,173.03849,-0.94261696,0.026154000000000004,39.575932,-20.051715899999998,1.0,7416.0
J080538.66+261005.5,121.4111,26.16819,0.016953,39.859901,-20.11273,1.0,1238.0,J153838.50+365730.1,234.66042000000002,36.958355,0.0186078,39.52554600000001,-20.1090984,1.0,2177.0
J110233.29-001727.6,165.6387,-0.29101,0.017294,38.577423,-18.367067300000002,1.0,23342.0,J073327.72+415308.8,113.3655,41.885773,0.0197043,38.53186046754581,-18.3328285,1.0,31774.0
J110233.29-001727.6,165.6387,-0.29101,0.017294,38.577423,-18.367067300000002,1.0,23342.0,J095555.07-001125.1,148.97947,-0.19030594,0.020987099999999998,38.462592023747796,-18.332559600000003,1.0,43101.0
J110233.29-001727.6,165.6387,-0.29101,0.017294,38.577423,-18.367067300000002,1.0,23342.0,J085038.82+301031.2,132.66173999999998,30.175340000000002,0.0266193,38.70236546970724,-18.271396600000006,1.0,84782.0
J110233.29-001727.6,165.6387,-0.29101,0.017294,38.577423,-18.367067300000002,1.0,23342.0,J080757.18+341338.4,121.98826000000001,34.227340000000005,0.021837799999999997,38.78269987220456,-18.372180899999996,1.0,47215.0
J110233.29-001727.6,165.6387,-0.29101,0.017294,38.577423,-18.367067300000002,1.0,23342.0,J094636.06+081034.8,146.65025,8.176330199999999,0.0258543,38.800975008802254,-18.380661,1.0,79906.0
J011059.31+002601.1,17.747137,0.433651,0.018843000000000002,39.542947,-18.4437103,1.0,24555.0,J101226.95+571445.8,153.11229,57.246046,0.024181400000000002,39.579804627669546,-18.4712658,1.0,49997.0
J011059.31+002601.1,17.747137,0.433651,0.018843000000000002,39.542947,-18.4437103,1.0,24555.0,J110338.36-005208.4,165.90984,-0.86900692,0.028608799999999997,39.607535,-18.365198100000004,1.0,94402.0
J011059.31+002601.1,17.747137,0.433651,0.018843000000000002,39.542947,-18.4437103,1.0,24555.0,J090232.73+423819.7,135.63638,42.63881,0.028074400000000003,39.24878571757096,-18.4919338,1.0,77832.0
J011059.31+002601.1,17.747137,0.433651,0.018843000000000002,39.542947,-18.4437103,1.0,24555.0,J120403.36+551217.8,181.01401,55.204938,0.019519099999999998,39.17144360100602,-18.4850616,1.0,25066.0
J011059.31+002601.1,17.747137,0.433651,0.018843000000000002,39.542947,-18.4437103,1.0,24555.0,J080053.21+280749.3,120.22169,28.130357,0.017102000000000003,39.023682757861636,-18.532606100000002,1.0,18335.0
J120114.35-034041.0,180.3098,-3.678067,0.019549,40.825358,-19.6012993,1.0,5878.0,J111038.86+034519.6,167.66192,3.7554482000000013,0.0254525,40.233325256527785,-19.6924763,1.0,12303.0
J120114.35-034041.0,180.3098,-3.678067,0.019549,40.825358,-19.6012993,1.0,5878.0,J082854.33+343906.0,127.22636000000001,34.651656,0.020921900000000004,40.057303999999995,-19.6510639,1.0,6951.0
J120114.35-034041.0,180.3098,-3.678067,0.019549,40.825358,-19.6012993,1.0,5878.0,J102621.14+004105.8,156.58808,0.68495794,0.0214326,39.822484901676226,-19.580896399999997,1.0,6693.0
J120114.35-034041.0,180.3098,-3.678067,0.019549,40.825358,-19.6012993,1.0,5878.0,J093650.00+114503.7,144.20834,11.751024000000001,0.0287293,39.773765000000004,-19.5112953,1.0,18821.0
J120114.35-034041.0,180.3098,-3.678067,0.019549,40.825358,-19.6012993,1.0,5878.0,J084715.58+511445.0,131.81493,51.245832,0.0275885,39.717137503714966,-19.537933300000002,1.0,17178.0
J112536.17+542257.2,171.40069,54.382555,0.020641999999999997,40.493327,-18.783144,1.0,19869.0,J135848.07+045426.9,209.70031,4.9074855,0.024738200000000002,39.765195941638325,-18.7644653,1.0,35047.0
J112536.17+542257.2,171.40069,54.382555,0.020641999999999997,40.493327,-18.783144,1.0,19869.0,J085333.60+394537.3,133.39002,39.760373,0.023416,39.5933,-18.706867199999998,1.0,37687.0
J112536.17+542257.2,171.40069,54.382555,0.020641999999999997,40.493327,-18.783144,1.0,19869.0,J161433.82+414240.5,243.64091000000002,41.711242999999996,0.026414299999999998,39.540072298701034,-18.7301826,1.0,55082.0
J112536.17+542257.2,171.40069,54.382555,0.020641999999999997,40.493327,-18.783144,1.0,19869.0,J085837.31+515242.6,134.65545,51.878488,0.012736399999999998,39.321389469874724,-18.7921181,1.0,4673.0
