name,ra,dec,z,flux_oiii,petro_abs_mag,central
J083732.70+284218.7,129.38627,28.705196,0.011585,-13.93,-20.2363625,1
J033013.26-053236.1,52.555265000000006,-5.54335,0.013147,-14.45,-20.153591199999997,1
J094529.37+093610.4,146.37237,9.602897,0.013277,-13.37,-18.5349236,1
J145706.80+494008.5,224.27832999999998,49.669019,0.013399000000000001,-14.22,-20.06917,0
J122342.81+581446.1,185.92837,58.246151,0.014527000000000002,-13.74,-17.8375931,0
J155252.84+403848.2,238.22016000000002,40.646728,0.015106999999999999,-14.02,-19.9193516,1
J095033.16+441851.8,147.63815,44.314381,0.015319,-14.07,-19.5080795,0
J080538.66+261005.5,121.4111,26.16819,0.016953,-13.95,-20.11273,1
J110233.29-001727.6,165.6387,-0.29101,0.017294,-15.25,-18.367067300000002,1
J033458.00-054853.3,53.74168,-5.814796,0.018324,-14.88,-18.2286224,1
J011059.31+002601.1,17.747137,0.433651,0.018843000000000002,-14.36,-18.4437103,1
J120114.35-034041.0,180.3098,-3.678067,0.019549,-13.11,-19.6012993,1
J112536.17+542257.2,171.40069,54.382555,0.020641999999999997,-13.49,-18.783144,1
J120257.82+045045.1,180.7409,4.84585,0.020675,-14.35,-20.4412098,1
J111607.65+412353.2,169.03189,41.398105,0.020843,-14.42,-19.529272100000004,1
J114530.26+094344.8,176.37607,9.7291,0.021371,-14.84,-19.571867,1
J132428.24+044629.6,201.11768,4.774889,0.02143,-14.44,-18.6914368,1
J082510.23+375919.8,126.29263,37.988820000000004,0.021431,-13.6,-19.3207531,1
J093812.26+074340.1,144.5511,7.727792,0.021894999999999998,-13.98,-19.6414452,1
J133815.87+043233.3,204.56613000000002,4.542593,0.022975,-13.11,-21.3850384,1
J100207.04+030327.7,150.52933000000002,3.057686,0.023176,-13.78,-20.2064686,1
J121754.98+583935.7,184.47907,58.659912,0.023253,-13.76,-19.388433499999998,1
J080740.99+390015.3,121.92081,39.004246,0.023496,-13.47,-20.405756,1
J122324.14+024044.4,185.85057,2.679011,0.023579,-13.86,-19.7458973,1
J130620.97+531823.2,196.58738,53.30644399999999,0.023679,-15.01,-19.2371902,1
J134632.13+642325.2,206.63388999999998,64.390328,0.024094,-13.37,-19.0778065,1
J115341.78+461242.3,178.42407,46.211737,0.024415,-13.96,-19.8754292,1
J140040.57-015518.3,210.16903,-1.921744,0.024997,-13.12,-19.123090700000002,1
J092438.89+560747.0,141.16204,56.12971999999999,0.025041,-14.11,-20.2886467,1
J164721.48+444209.8,251.83947999999998,44.702717,0.025651,-15.02,-19.0393524,1
J112637.74+513423.0,171.65725,51.573064,0.026443,-14.4,-19.1506729,1
J080020.99+263648.7,120.08743999999999,26.613535,0.026773,-13.33,-21.321479800000002,1
J133248.70+415218.6,203.20292,41.871832,0.027065,-14.47,-21.1194687,1
J114343.76+550019.3,175.93235,55.005366,0.027067,-14.63,-17.460149800000003,1
J004042.10-110957.6,10.175425,-11.166005,0.027287,-15.26,-17.7432766,1
J140718.29+125314.0,211.82619,12.887215,0.027368,-14.71,-20.056778,1
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,-13.84,-21.0961266,0
J111857.69+580323.6,169.74036999999998,58.056554000000006,0.027872000000000004,-13.9,-19.599420499999997,1
J143450.63+033842.6,218.71095,3.6451629999999997,0.028165,-14.67,-19.7670212,0
J171518.57+573931.6,258.82738,57.65878299999999,0.028176999999999997,-14.11,-19.907539399999997,0
J162012.76+400906.2,245.05315,40.151720000000005,0.028475999999999998,-14.23,-19.8903732,1
J114107.56-024910.9,175.28149,-2.819687,0.028737000000000002,-14.75,-19.7947769,1
J173809.30+584253.7,264.53876,58.714904000000004,0.028761000000000002,-14.67,-20.388776800000002,1
J111349.74+093510.7,168.45725,9.586292,0.028968999999999998,-13.6,-21.3726501,1
J142704.55+355409.6,216.76896000000002,35.902656,0.029031,-14.41,-19.7793655,1
J111254.48+093050.4,168.22701,9.513991,0.029075,-15.36,-19.398622500000002,0
J173159.22+595818.0,262.99672999999996,59.971676,0.029195999999999996,-14.57,-19.554315600000002,0
J130615.17+585733.2,196.5632,58.959224,0.029207999999999998,-14.52,-18.358739899999996,1
J112408.65-010927.9,171.03603,-1.1577620000000002,0.029287999999999998,-13.42,-20.405408899999998,1
J131305.81+012755.9,198.2742,1.465541,0.029361,-14.36,-19.6678009,1
J024912.87-081525.7,42.303616999999996,-8.257135,0.029439,-14.56,-18.9376984,0
J083803.67+540642.2,129.51531,54.111729000000004,0.029462000000000002,-15.33,-17.6596298,1
J231815.67+001540.2,349.56529,0.261179,0.029773,-14.29,-20.6928482,1
J144331.27+492335.2,220.88029,49.393125,0.030161,-14.95,-20.5921707,1
J153552.40+575409.5,233.96835,57.902639,0.030319,-12.83,-20.1214142,1
J123651.18+453904.2,189.21325,45.651162,0.030418999999999998,-13.74,-20.6821289,1
J121607.09+504930.1,184.02955,50.825021,0.030808,-13.08,-20.3186016,0
J030834.31+003303.3,47.142961,0.550924,0.030824,-14.75,-19.966274300000002,0
J155909.63+350147.5,239.79012000000003,35.029857,0.031002999999999996,-13.78,-21.0772667,1
J074507.25+460420.7,116.28022,46.07242,0.031301,-14.6,-21.0928268,1
J232124.79-005908.4,350.3533,-0.9856540000000001,0.031427,-15.23,-20.2385082,0
J110016.03+461615.2,165.0668,46.270893,0.031777,-13.89,-18.7352695,1
J230920.26+004523.5,347.33443,0.7565149999999999,0.032279,-14.19,-21.1443768,1
J161927.81+395832.3,244.86587999999998,39.975635,0.032389999999999995,-15.18,-19.8351669,1
J154744.15+412408.3,236.93393999999998,41.4023,0.032609,-13.44,-20.294466,1
J134952.84+020445.1,207.47018,2.079195,0.032847,-13.1,-20.0649109,1
J164045.62+431656.8,250.19009,43.282449,0.033152999999999995,-14.71,-19.270031,1
J112628.73+472453.8,171.61972,47.414958,0.03333,-14.34,-18.564539,1
