name,z,flux,luminous
J082620.82+055727.8,0.044945,-14.57,40.104777
J160154.01+315331.4,0.044968,-14.11,40.565236
J161051.81+485439.2,0.04506,-13.26,41.417069
J091256.44+380538.1,0.045348,-13.99,40.692784
J000805.62+145023.4,0.04542,-14.19,40.494208
J204745.25-052515.7,0.045648,-14.58,40.108701
J232721.96+152437.3,0.045717,-13.55,41.140056
J150745.00+512710.3,0.045758,-13.47,41.22086
J091101.33+571246.9,0.045821,-14.29,40.402095
J083202.16+461425.7,0.045906,-14.34,40.353758
J163007.40-001136.4,0.046676,-13.94,40.768691
J230443.48-084108.6,0.04686,-12.66,42.052224
J094838.42+403043.7,0.046951,-14.0,40.713966
J125718.83-011920.8,0.047006,-15.17,39.545018
J125042.44-024931.4,0.047058,-14.07,40.646011
J094328.74+524811.6,0.047143,-14.3,40.417632
J163629.67+410222.4,0.047343,-15.27,39.451434000000006
J114433.07+613200.7,0.047693,-13.71,41.018052
J093449.82+081851.8,0.047773,-14.73,39.999558
J002746.39-101546.7,0.047885,-14.62,40.111662
J124635.25+022208.8,0.048178,-13.65,41.087145
J155417.43+323837.8,0.048313,-13.49,41.24966
J073106.87+392644.7,0.048466,-14.3,40.44250200000001
J112942.76+555912.6,0.04871,-14.34,40.407017
J082842.73+454433.3,0.049015,-14.27,40.48263
J165601.61+211241.2,0.049105,-13.66,41.09428
J095306.81+365028.1,0.049137,-15.43,39.324865
J101439.56-004951.3,0.049154,-14.18,40.575177
J110456.03+433409.2,0.049288,-14.15,40.607625
J092313.32+565622.3,0.049386,-15.18,39.579412
J164520.63+424528.0,0.049401,-15.04,39.719685
J121958.74+560855.0,0.049481,-15.05,39.711141
J093327.87+093200.1,0.049695,-14.74,40.025023
J083220.04+302719.4,0.049792,-14.27,40.496777
J033957.87-061215.1,0.049822000000000005,-15.26,39.507319
J094839.74+363649.2,0.049886,-14.64,40.128474
J091520.48+411918.8,0.049894,-15.2,39.568619
J135951.93+364423.7,0.050018,-14.39,40.380852
J084146.02+032424.9,0.050167,-14.91,39.863529
J075611.33+452905.0,0.050283,-14.87,39.905608
J121826.71-000750.0,0.050422,-13.95,40.828092
J121920.85-001429.5,0.050589,-14.32,40.461069
J130619.84+455224.2,0.050697000000000006,-14.84,39.942989
J115138.10+561331.9,0.050854,-14.18,40.605773
J162138.10+351617.3,0.05086,-13.8,40.985879
J081509.80+032753.7,0.051094,-14.4,40.390012
J102934.69+004819.1,0.051167,-15.36,39.431298
J153001.82-020415.0,0.051188,-14.31,40.481667
J095050.29+095236.8,0.051257,-14.33,40.462881
J112841.00+575006.5,0.051268,-13.99,40.803074
J115038.19-005326.6,0.051366,-14.66,40.134794
J163813.72+261654.4,0.051429,-14.22,40.575898
J210226.54+000702.3,0.051636,-14.77,40.029516
J213418.32-064335.3,0.051666,-14.36,40.440039
J075244.20+455657.4,0.051799,-14.05,40.752355
J120626.28+424426.1,0.052026,-14.35,40.456295
J212851.20-010412.5,0.052051,-14.95,39.856728
J130019.96+613918.1,0.052198,-13.91,40.899269
J212954.56+101603.9,0.052211,-14.09,40.719494
J105658.53+441653.2,0.052375,-13.75,41.06232
J085554.27+005111.0,0.052387,-14.06,40.752526
J104252.94+041441.1,0.052457,-14.31,40.50373
J020001.72-085540.5,0.05247,-14.68,40.13395300000001
J213344.25-081615.7,0.0525,-14.58,40.234468
J103210.16+065205.4,0.052774,-14.75,40.069161
J114005.46+454216.6,0.053215,-15.2,39.626663
J160502.47+330545.0,0.053267,-14.05,40.777544
J170938.98+630634.8,0.05347,-14.25,40.580974
J103312.84+064437.0,0.053501,-14.74,40.091497
J081319.33+460849.8,0.05358,-14.11,40.722828
J100854.94+373930.0,0.053620000000000015,-14.07,40.763501
J140644.89-012023.2,0.05369,-15.07,39.764678
J224824.64+000920.8,0.053709,-13.86,40.974997
J160535.00+311439.3,0.053753,-14.61,40.225736
