name1,ra1,dec1,z1,lum_oiii1,petro_abs_mag1,petro_app_mag1,central1,gz2id1,gz2class1,name2,ra2,dec2,z2,lum_oiii2,petro_abs_mag2,petro_app_mag2,central2,gz2id2,gz2class2
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1.0,482.0,Ec,J075953.49+232324.2,119.97287,23.390062,0.0291703,40.298635,-21.3161354,13.440719416456695,1.0,1446.0,Sb2m
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1.0,482.0,Ec,J114509.25+494307.7,176.28855,49.718795,0.0322772,39.78064142072722,-21.4292049,13.552421991844144,1.0,1704.0,Ei
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1.0,482.0,Ec,J141451.35+030751.3,213.71395,3.130926,0.0253336,39.754789434693976,-21.4176521,13.026780258880198,1.0,612.0,Er
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1.0,482.0,Ec,J131206.27+461146.2,198.02613,46.196153,0.028310400000000006,39.70458443756514,-21.3746738,13.315819450124508,1.0,920.0,Sb2t(d)
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1.0,482.0,Ec,J172717.39+582907.7,261.82245,58.485471,0.0272243,39.60317743995894,-21.3462429,13.257549435111287,1.0,1281.0,Er
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,13.245284261556993,1.0,1012.0,SBb2m,J003735.81+001650.5,9.3992204,0.28068526,0.0349309,40.69341800000001,-21.4114513,13.745995638564697,1.0,2455.0,SBb2m(r)
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,13.245284261556993,1.0,1012.0,SBb2m,J104000.58+390720.0,160.0024,39.122224,0.0308047,40.316612139049475,-21.2308922,13.646974730005605,1.0,1870.0,SBb2m
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,13.245284261556993,1.0,1012.0,SBb2m,J075953.49+232324.2,119.97287,23.390062,0.0291703,40.298635,-21.3161354,13.440719416456695,1.0,1446.0,Sb2m
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,13.245284261556993,1.0,1012.0,SBb2m,J141451.35+030751.3,213.71395,3.130926,0.0253336,39.754789434693976,-21.4176521,13.026780258880198,1.0,612.0,Er
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,13.245284261556993,1.0,1012.0,SBb2m,J131206.27+461146.2,198.02613,46.196153,0.028310400000000006,39.70458443756514,-21.3746738,13.315819450124508,1.0,920.0,Sb2t(d)
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,13.471322613840165,1.0,1401.0,Sc+m,J130905.60+113802.9,197.27333,11.634127,0.0251973,39.74584900000001,-21.1625729,13.269923959563654,1.0,872.0,SBb?t
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,13.471322613840165,1.0,1401.0,Sc+m,J170727.46+311451.8,256.8644,31.24771,0.0311351,39.743707666331574,-21.0966911,13.8048734760551,1.0,2811.0,Sb2l
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,13.471322613840165,1.0,1401.0,Sc+m,J103719.33+433515.3,159.33056000000005,43.587589,0.0247628,39.74255322380935,-21.1653347,13.228686112357376,1.0,951.0,Ei
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,13.471322613840165,1.0,1401.0,Sc+m,J150759.30+011354.3,226.99709,1.2317371,0.0351143,39.888424160298364,-21.0497723,14.119338982510884,1.0,4012.0,Sc?t
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,13.471322613840165,1.0,1401.0,Sc+m,J204514.60-052903.5,311.3108200000001,-5.4843002,0.0270002,39.538657863953844,-21.0714607,13.514020571356935,1.0,,
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,13.549407607885039,0.0,1590.0,SBc?t(r),J163716.43+442505.6,249.31845,44.418231,0.0314101,40.49952691393218,-21.1028957,13.81820611511451,0.0,2727.0,SBb2m
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,13.549407607885039,0.0,1590.0,SBc?t(r),J155636.40+415250.5,239.15167,41.880707,0.0347999,40.622342687728974,-21.150526,13.99855260389328,0.0,3910.0,Sa2t
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,13.549407607885039,0.0,1590.0,SBc?t(r),J162722.10+390634.7,246.84209,39.109627,0.0329445,40.681068192338465,-21.1852722,13.841860392755079,0.0,2397.0,Sc4t
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,13.549407607885039,0.0,1590.0,SBc?t(r),J151422.39+501946.8,228.59331,50.32967100000001,0.0369379,39.72574493268503,-21.0596657,14.222297082758505,0.0,6276.0,Er(r)
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,13.549407607885039,0.0,1590.0,SBc?t(r),J171524.49+571921.0,258.85203,57.32250300000001,0.0295576,39.48139065462559,-21.14007,13.646050365961322,0.0,2010.0,Ei
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,13.368843193726908,1.0,1337.0,SBb(d),J003735.81+001650.5,9.3992204,0.28068526,0.0349309,40.69341800000001,-21.4114513,13.745995638564697,1.0,2455.0,SBb2m(r)
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,13.368843193726908,1.0,1337.0,SBb(d),J120908.81+440011.5,182.28671,44.003199,0.0375801,40.493897163464936,-21.4605312,13.859883383030345,1.0,2575.0,Sc3m
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,13.368843193726908,1.0,1337.0,SBb(d),J075953.49+232324.2,119.97287,23.390062,0.0291703,40.298635,-21.3161354,13.440719416456695,1.0,1446.0,Sb2m
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,13.368843193726908,1.0,1337.0,SBb(d),J152041.34+490623.6,230.17224,49.106545,0.0384042,40.068381700956714,-21.3000641,14.068765990717068,1.0,4146.0,Sb2m
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,13.368843193726908,1.0,1337.0,SBb(d),J114509.25+494307.7,176.28855,49.718795,0.0322772,39.78064142072722,-21.4292049,13.552421991844144,1.0,1704.0,Ei
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,14.109386310496228,1.0,3805.0,Sb2l,J114743.69+014934.4,176.93204,1.8262165,0.028637,40.0452841148156,-20.754058800000006,13.961869067893293,1.0,3186.0,Sb3t(r)
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,14.109386310496228,1.0,3805.0,Sb2l,J105546.79+440258.8,163.94496,44.049663,0.0371108,40.049524,-20.6618195,14.630559416854663,1.0,9740.0,Er
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,14.109386310496228,1.0,3805.0,Sb2l,J102332.55+522031.4,155.88561,52.342049,0.0322238,39.98439128015401,-20.781599,14.19634669261773,1.0,4851.0,Ser(d)
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,14.109386310496228,1.0,3805.0,Sb2l,J134527.23+475521.8,206.36345,47.92271,0.028057,39.975558855785046,-20.7202663,13.950293987319114,1.0,2973.0,Sc?t
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,14.109386310496228,1.0,3805.0,Sb2l,J131408.61-002628.0,198.53589,-0.44112266,0.039251,39.964184577293686,-20.6613331,14.756203046894562,1.0,10626.0,SBb?t
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,14.23880427382225,1.0,5336.0,Ser,J153138.87+351649.7,232.91195,35.280473,0.0369279,39.36999642603729,-20.5882893,14.6930695925574,1.0,10770.0,SBb(r)
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,14.23880427382225,1.0,5336.0,Ser,J110036.95+440551.0,165.15395,44.097494,0.03655680000000002,39.37327029707372,-20.5374317,14.721403321709516,1.0,10710.0,Ser
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,14.23880427382225,1.0,5336.0,Ser,J105646.12+053940.0,164.19215,5.6611079,0.0396518,39.35778414229323,-20.6448383,14.795395271519222,1.0,10766.0,SBb2l(r)
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,14.23880427382225,1.0,5336.0,Ser,J024850.80-004602.6,42.211665,-0.76739767,0.0216195,39.3888018384218,-20.5906429,13.503495541545668,1.0,1270.0,Sb(r)
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,14.23880427382225,1.0,5336.0,Ser,J034240.10-062254.6,55.667104,-6.3818355,0.0211967,39.34881437496051,-20.6269665,13.423595594168274,1.0,,
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,14.1677572970159,1.0,4335.0,SBb4t,J121451.24-032922.2,183.71352,-3.4895004000000003,0.0335214,40.624677,-20.680563,14.385190252648457,1.0,7017.0,SBb2m
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,14.1677572970159,1.0,4335.0,SBb4t,J080248.17+450204.4,120.70071000000002,45.034554,0.0387923,40.64221471130653,-20.7077618,14.683519440513273,1.0,9266.0,Sc
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,14.1677572970159,1.0,4335.0,SBb4t,J111943.96+073529.0,169.93315,7.5913954,0.039289300000000006,40.528859999999995,-20.5992928,14.82042201533998,1.0,12730.0,Ec
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,14.1677572970159,1.0,4335.0,SBb4t,J110630.66+063333.9,166.62775,6.559402900000001,0.040186900000000005,40.67843232062144,-20.6694069,14.800783892809784,1.0,12663.0,SBb2m
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,14.1677572970159,1.0,4335.0,SBb4t,J015248.42-084320.7,28.201757,-8.7224228,0.036934,40.856431753079704,-20.7207546,14.560972684543465,1.0,,
