name,ra,dec,z,lum_oiii,petro_abs_mag,petro_app_mag,central,gz2id,gz2class
J094630.86-004554.5,146.62857,-0.76513683,0.0646826,39.42642137050072,-19.922863,16.619021947840878,1,150919.0,Ser
J094919.08+000144.0,147.32951,0.028902695,0.0480914,39.46097259800106,-20.3655033,15.507070259718326,1,34354.0,SBb2m
J094547.59-004248.2,146.44831000000005,-0.71339967,0.114683,40.778391307406615,-20.59799,17.261348665799698,1,,
J094736.30-002447.4,146.90125,-0.4131573,0.0565705,39.53427563371001,-19.4264717,16.811931670723528,1,192515.0,Ei
J094726.32-000556.2,146.85967,-0.09893862699999999,0.125426,40.315003594750756,-20.4280853,17.640902966756357,1,,
J094658.02-003128.9,146.74174,-0.52469154,0.131474,40.43588687210044,-20.5491486,17.630562237595587,1,,
J094631.12-002756.5,146.62966,-0.46568888,0.0893659,39.82248829687228,-20.503726999999998,16.777215596509322,1,160178.0,Sb
J094529.71-002206.2,146.37378,-0.36838682,0.05326519999999999,39.77622451877205,-20.0629082,16.03963000132693,0,59767.0,Sb?l(m)
J094511.97-000712.1,146.29988,-0.12001413,0.0306548,40.06644539966328,-19.841245699999998,15.025787642866113,1,15288.0,Sc?t
J094519.10-001822.4,146.32958,-0.30622363,0.0364533,39.46343781335748,-18.8058701,16.446643229838394,1,112181.0,Sc?t
J094439.75-000351.0,146.16563,-0.064166288,0.0632586,39.57616976278258,-19.7038841,16.787478673019937,0,186525.0,Ei
J094358.55-000809.1,145.99396000000004,-0.13584762,0.06307019999999999,39.379370714712856,-19.8172607,16.667336117992896,1,158142.0,Sb
J094302.34-004850.0,145.75973,-0.81389214,0.0676153,41.014298,-20.6935959,15.949057808503824,1,60520.0,Ser(o)
J094224.29-000005.0,145.6012,-0.001388682,0.145725,40.803583407035134,-21.4779968,16.944842314904626,1,209900.0,Ser
J094134.62-003327.6,145.39427,-0.55765535,0.125894,40.50112228560505,-20.5967941,17.480938746733376,1,,
J094142.47+000258.3,145.42694,0.049536734000000006,0.0908857,39.74468940627354,-20.2577705,17.062034795685154,1,,
J094047.11-005247.9,145.1963,-0.87997986,0.11866900000000001,40.08823068387963,-20.324695600000002,17.614503269106873,1,,
J094153.11+000918.5,145.47131000000005,0.15515025,0.122281,41.236279703108785,-20.9246635,17.08475366513656,1,,
J094403.63+004924.6,146.01513,0.8235056999999999,0.12328,40.14376258645291,-21.0380039,16.990490186206912,0,205616.0,Sb
J094310.22+003129.0,145.79259,0.52472729,0.12232699999999999,40.36190680539136,-20.3262043,17.68409449032751,1,,
J094312.05+002451.0,145.80019,0.41417226,0.0251904,38.914134667798045,-20.119808199999998,14.312082756223193,1,4767.0,Sen
J094347.47+002755.1,145.94781,0.46529716,0.030433699999999998,38.93422811103197,-19.7149048,15.136054163318255,1,20711.0,Ei
J094621.32+001021.4,146.58882,0.17259960000000002,0.057448,39.48762004064747,-20.027883499999998,16.245302939311266,1,80998.0,Ei
J094713.63+003956.3,146.8068,0.66563514,0.0200467,38.804539987694696,-16.897523899999996,17.030034118207375,0,,
J095455.89-004540.2,148.73288,-0.76115921,0.08632360000000001,39.824264752664476,-21.2629623,15.93826210064326,1,59673.0,Ei
J095645.90-001534.3,149.19127,-0.25953399,0.07072460000000001,40.17876272378825,-20.154987300000002,16.59002451051752,1,,
J095637.10-000656.6,149.15457,-0.11572062,0.166962,40.46818890103193,-21.0186424,17.728198029149436,1,,
J095334.69-005315.8,148.39456,-0.88771162,0.13722,40.706473106981576,-21.211412399999997,17.069158854460746,1,,
J095555.07-001125.1,148.97947,-0.19030594,0.020987099999999998,38.462592023747796,-18.332559600000003,15.696081471257576,1,43101.0,Ser
J095549.15-000007.5,148.95481,-0.0020917873,0.124852,40.095433805149796,-20.451126100000003,17.607095086710814,1,,
J095230.04-002504.3,148.12516000000005,-0.41786911,0.051805899999999995,39.25662195826367,-20.278245899999998,15.761696607743414,1,42234.0,Ei
J095109.08+000035.5,147.78785,0.0098501986,0.132996,40.525736960220314,-21.1355133,17.071309083616722,1,227009.0,SBa+t
J095136.83-001904.0,147.90346,-0.3177735,0.07937810000000001,39.58419684898194,-20.3569012,16.651816721942684,0,154965.0,Ei
J095034.97-001636.0,147.64571999999995,-0.27665868,0.0636769,39.477152081356934,-19.1316166,17.374699489537548,1,,
J095025.71-004515.4,147.60714,-0.75427855,0.125769,40.06472047475153,-20.938179,17.137221210177266,1,226831.0,Sc(m)
J094942.79-005024.3,147.42829,-0.84007574,0.0809758,40.034309260318096,-20.773887600000002,16.28049582682745,1,95159.0,Er
J094944.94-002031.6,147.43725,-0.34209863,0.0952231,40.02258639096958,-20.243305199999998,17.184111786263415,1,,
J095016.28-001653.0,147.56781999999995,-0.28138654,0.125974,40.03430167574118,-20.3644924,17.71473219430568,1,,
J094818.69-005222.8,147.07786000000004,-0.87301304,0.0668841,39.564786805371774,-20.27001,16.347917731354073,1,105220.0,Ser
J094853.28-005155.6,147.22198,-0.86545331,0.0671554,40.79335679563495,-19.0652523,17.561879726754597,1,,
J094929.45+001433.2,147.37271,0.24256335,0.06952749999999999,39.41618576789517,-20.5970497,16.109073905053506,1,66649.0,Sd2t
J095014.77+011347.5,147.56153,1.2298604,0.0989447,39.99698195344624,-21.006694800000002,16.509414512297088,1,129727.0,Ei
J095030.54+011313.8,147.62725,1.220489,0.13047999999999998,40.7927041895,-21.0212421,17.14060340779059,1,,
J095135.01+010643.5,147.89586,1.1120728000000002,0.0205487,38.98961695753281,-19.6398811,14.342204077786715,1,6253.0,Ei
J100131.76-001110.0,150.38232,-0.18610224,0.08758869999999999,39.91085003886431,-20.1962299,17.038463624404507,1,,
J100147.52-000940.9,150.44798,-0.16134973,0.0651905,39.42430565315947,-19.305286399999996,17.254360195561155,1,,
J095910.62-005133.9,149.79426,-0.8594179,0.104583,39.883917302187946,-20.088169100000002,17.556472195825744,1,,
J100120.49-001058.4,150.33539,-0.18287734,0.0899667,39.659207691174714,-21.0400181,16.25636198248846,0,91750.0,Ei
J095950.32-001339.0,149.95966,-0.22748983,0.09063919999999999,41.51166596763512,-20.5583878,16.755156387439882,0,177782.0,Sb(o)
J100035.34-000259.2,150.14725,-0.049772248,0.0916692,40.02261272313478,-19.6503639,17.689235817598085,0,,
J095947.48+000139.3,149.94785,0.027582261,0.140252,40.499266079131274,-20.7513466,17.58086425135743,1,,
J095912.29-000824.6,149.80119,-0.1401662,0.12491,40.820552632351024,-20.943914399999997,17.11539685645062,1,238413.0,SBc(r)
J095645.07-005916.9,149.18778999999995,-0.98802107,0.106147,39.909400704354134,-19.9795818,17.69955269753423,1,,
J095749.55-001239.4,149.45645,-0.21093188,0.0330844,39.38097529266041,-19.5442753,15.492283274911715,1,32795.0,Ei
J095741.77-002117.6,149.42403000000004,-0.35489277,0.0885314,39.74564675742428,-21.2944508,15.964885032735946,0,61274.0,Er
J095555.12-005613.5,148.97967,-0.93709546,0.0905842,39.73153485294801,-20.996751800000002,16.315393179803007,1,98797.0,Ser
J095703.39+000108.5,149.26413,0.019038894,0.12489700000000001,40.114360326739366,-20.934238399999998,17.124828571773595,0,,
J095712.02-002527.4,149.30007,-0.42428467,0.0889855,40.168417921224105,-20.634634,16.636483210115273,0,132867.0,Er
J095714.67-001837.8,149.31112,-0.31051183,0.0886161,40.03671669959551,-20.603712100000006,16.65782557773998,0,156744.0,SBb2l
J095343.90-000524.6,148.43291000000005,-0.090180392,0.08339730000000001,40.161548017667656,-20.5795631,16.542420177172087,0,,
J095631.62+011500.8,149.13175,1.2502266000000002,0.06676649999999999,39.43506972098477,-20.1915646,16.422362226174386,1,119462.0,Ei
J095629.19+004232.1,149.12163999999999,0.70892345,0.09591039999999999,39.89426234494213,-20.8961906,16.5478503567189,1,119565.0,Sb2l
J095651.39+001231.8,149.21414,0.20882805,0.0650878,39.980558150666646,-21.720298800000002,14.83576704284911,1,12460.0,Er
J095633.32+003837.0,149.13884,0.64360922,0.109141,40.18213491532956,-20.2361755,17.507672619251196,1,,
J095647.46+011523.9,149.19776000000005,1.2566427,0.0636381,39.90291620453823,-20.4906063,16.014326751799732,1,65886.0,Ei
J095830.03+011055.1,149.62511,1.1819846,0.062093899999999994,39.577227201142314,-20.404714600000002,16.044506399130896,1,68336.0,Ser
J095745.12+005141.4,149.43801000000005,0.8615036,0.0973347,39.846318012424895,-21.8663845,15.61175019791344,1,37082.0,Ei
J095849.86+000941.2,149.70775,0.16144659,0.0472869,39.12170880155065,-19.1099262,16.724752020011376,1,168337.0,SBb2l
J100024.37+004216.5,150.10153,0.70459403,0.0334972,39.589716261774456,-20.985303899999998,14.078842375688234,1,4159.0,SBb2t
J100107.76+005111.8,150.28233,0.85327478,0.124026,40.02319641155467,-21.9292717,16.113373603449276,1,75626.0,Er
J095948.05+004648.4,149.95019,0.78012107,0.0877467,39.759279536690066,-20.078859299999998,17.159981897456632,1,,
J100008.40+005905.3,150.03499,0.9847942,0.0318648,40.47021500000001,-18.9673004,15.985741190280585,1,65544.0,Er
J100121.22+000925.6,150.33843000000005,0.15710264,0.0920731,40.509235021914506,-19.908720000000002,17.44102124764147,1,,
J100743.91-000820.9,151.93295,-0.13914898,0.0677953,39.56867776804482,-20.3491421,16.29955907479348,1,97257.0,Ser
J100705.58-001136.9,151.77327,-0.19357136,0.189249,40.45616350993893,-21.7198982,17.328136151180185,1,,
J100323.91-000140.6,150.84964,-0.027941251,0.09313660000000001,39.93729694885669,-20.5140839,16.86216022773596,1,202519.0,SBb1m
J100204.09+004115.1,150.51703,0.6875303,0.0451209,39.095710419883005,-19.84021,15.8892464583568,1,57554.0,SBb
J100312.82+010856.1,150.80341,1.148911,0.067615,39.906936974265854,-19.9764729,16.666170716511356,0,,
J100158.82+004254.9,150.49508,0.71524319,0.06253819999999999,39.35582166654387,-19.8259945,16.639391341918305,1,136602.0,Sc?t
J100414.06+001546.2,151.05858999999995,0.26283874,0.067194,39.79873595748036,-19.844923,16.78351569513315,1,186651.0,SBb2l
J100356.27+004859.8,150.98446,0.81661237,0.0461425,40.71009505105446,-19.2438622,16.53581902331229,0,140656.0,Ei(o)
J100343.46+004216.9,150.93108999999995,0.70469435,0.0322277,39.33614788053747,-18.4889793,16.48923544608917,1,131469.0,Ei
J100448.27+004606.2,151.20111,0.76838655,0.0681815,39.612936625911615,-20.3082561,16.35336846023187,1,106134.0,Ei
J100646.53+001724.4,151.69388,0.29010167,0.09713530000000001,40.04396079370651,-20.459867499999998,17.013522680582913,1,,
