name_1,ra_1,dec_1,z_1,lum_oiii_1,petro_abs_mag_1,petro_app_mag_1,central_1,gz2id_1,gz2class_1,name_2,ra_2,dec_2,z_2,lum_oiii_2,petro_abs_mag_2,petro_app_mag_2,central_2,gz2id_2,gz2class_2
J120257.82+045045.1,180.7409,4.84585,0.020675,39.634736,-20.4412098,13.554387385978648,1.0,1516.0,SBc2t,J171934.81+563748.1,259.89506,56.630038,0.0273728,39.629025,-20.4201908,14.195654099854181,1.0,4898.0,Ei
J120257.82+045045.1,180.7409,4.84585,0.020675,39.634736,-20.4412098,13.554387385978648,1.0,1516.0,SBc2t,J074252.09+220645.8,115.71705,22.11272,0.028585900000000008,39.65313179328044,-20.376016600000003,14.335950575293214,1.0,5500.0,SBc3t
J120257.82+045045.1,180.7409,4.84585,0.020675,39.634736,-20.4412098,13.554387385978648,1.0,1516.0,SBc2t,J111406.32+554239.1,168.52632,55.710872,0.0279428,39.6692394125984,-20.5371132,14.124406121052985,1.0,3837.0,Sc?t
J120257.82+045045.1,180.7409,4.84585,0.020675,39.634736,-20.4412098,13.554387385978648,1.0,1516.0,SBc2t,J151944.30+441918.6,229.93459,44.321846,0.0282073,39.69420908044463,-20.4657021,14.216702280698053,1.0,4600.0,Sb2t
J120257.82+045045.1,180.7409,4.84585,0.020675,39.634736,-20.4412098,13.554387385978648,1.0,1516.0,SBc2t,J090015.62+401748.4,135.06507,40.296765,0.0289336,39.563200108680796,-20.4911003,14.24768075405678,1.0,4516.0,SBc2m
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1.0,482.0,Ec,J075953.49+232324.2,119.97287,23.390062,0.0291703,40.298635,-21.3161354,13.440719416456695,1.0,1446.0,Sb2m
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1.0,482.0,Ec,J114509.25+494307.7,176.28855,49.718795,0.0322772,39.78064142072722,-21.4292049,13.552421991844144,1.0,1704.0,Ei
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1.0,482.0,Ec,J141451.35+030751.3,213.71395,3.130926,0.0253336,39.754789434693976,-21.4176521,13.026780258880198,1.0,612.0,Er
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1.0,482.0,Ec,J131206.27+461146.2,198.02613,46.196153,0.028310400000000006,39.70458443756514,-21.3746738,13.315819450124508,1.0,920.0,Sb2t(d)
J133815.87+043233.3,204.56613,4.542593,0.022975,40.967855,-21.3850384,12.843356707936707,1.0,482.0,Ec,J172717.39+582907.7,261.82245,58.485471,0.0272243,39.60317743995894,-21.3462429,13.257549435111287,1.0,1281.0,Er
J080740.99+390015.3,121.92081,39.004246,0.023496,40.627671,-20.405756,13.872178404969366,1.0,3098.0,Sb2l,J131915.90+543606.3,199.81623,54.601739,0.0322972,40.51447922026173,-20.4608669,14.522137185485859,1.0,8407.0,Sb(r)
J080740.99+390015.3,121.92081,39.004246,0.023496,40.627671,-20.405756,13.872178404969366,1.0,3098.0,Sb2l,J085828.60+000124.5,134.61916000000002,0.023468147,0.0285519,40.4764602655906,-20.3404484,14.36887963451629,1.0,6523.0,SBc
J080740.99+390015.3,121.92081,39.004246,0.023496,40.627671,-20.405756,13.872178404969366,1.0,3098.0,Sb2l,J143722.14+363404.3,219.34226,36.567855,0.0141065,40.426579490040005,-20.4611454,12.693547068350654,1.0,295.0,SBb?t
J080740.99+390015.3,121.92081,39.004246,0.023496,40.627671,-20.405756,13.872178404969366,1.0,3098.0,Sb2l,J005940.11+151951.5,14.917142000000002,15.330978,0.0182413,40.338596815974434,-20.4114685,13.308200448580482,1.0,,
J080740.99+390015.3,121.92081,39.004246,0.023496,40.627671,-20.405756,13.872178404969366,1.0,3098.0,Sb2l,J172837.52+570842.2,262.15633,57.145065,0.0275394,40.32154342617827,-20.3358517,14.29343869868464,1.0,5247.0,Sb?t(o)
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,13.245284261556993,1.0,1012.0,SBb2m,J003735.81+001650.5,9.3992204,0.28068526,0.0349309,40.69341800000001,-21.4114513,13.745995638564697,1.0,2455.0,SBb2m(r)
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,13.245284261556993,1.0,1012.0,SBb2m,J104000.58+390720.0,160.0024,39.122224,0.0308047,40.316612139049475,-21.2308922,13.646974730005605,1.0,1870.0,SBb2m
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,13.245284261556993,1.0,1012.0,SBb2m,J075953.49+232324.2,119.97287,23.390062,0.0291703,40.298635,-21.3161354,13.440719416456695,1.0,1446.0,Sb2m
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,13.245284261556993,1.0,1012.0,SBb2m,J141451.35+030751.3,213.71395,3.130926,0.0253336,39.754789434693976,-21.4176521,13.026780258880198,1.0,612.0,Er
J080020.99+263648.7,120.08744,26.613535,0.026773,40.883203,-21.3214798,13.245284261556993,1.0,1012.0,SBb2m,J131206.27+461146.2,198.02613,46.196153,0.028310400000000006,39.70458443756514,-21.3746738,13.315819450124508,1.0,920.0,Sb2t(d)
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,13.471322613840165,1.0,1401.0,Sc+m,J130905.60+113802.9,197.27333,11.634127,0.0251973,39.74584900000001,-21.1625729,13.269923959563654,1.0,872.0,SBb?t
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,13.471322613840165,1.0,1401.0,Sc+m,J170727.46+311451.8,256.8644,31.24771,0.0311351,39.743707666331574,-21.0966911,13.8048734760551,1.0,2811.0,Sb2l
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,13.471322613840165,1.0,1401.0,Sc+m,J103719.33+433515.3,159.33056000000005,43.587589,0.0247628,39.74255322380935,-21.1653347,13.228686112357376,1.0,951.0,Ei
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,13.471322613840165,1.0,1401.0,Sc+m,J150759.30+011354.3,226.99709,1.2317371,0.0351143,39.888424160298364,-21.0497723,14.119338982510884,1.0,4012.0,Sc?t
J133248.70+415218.6,203.20292,41.871832,0.027065,39.752814,-21.1194687,13.471322613840165,1.0,1401.0,Sc+m,J204514.60-052903.5,311.3108200000001,-5.4843002,0.0270002,39.538657863953844,-21.0714607,13.514020571356935,1.0,,
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,13.549407607885039,0.0,1590.0,SBc?t(r),J163716.43+442505.6,249.31845,44.418231,0.0314101,40.49952691393218,-21.1028957,13.81820611511451,0.0,2727.0,SBb2m
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,13.549407607885039,0.0,1590.0,SBc?t(r),J155636.40+415250.5,239.15167,41.880707,0.0347999,40.622342687728974,-21.150526,13.99855260389328,0.0,3910.0,Sa2t
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,13.549407607885039,0.0,1590.0,SBc?t(r),J162722.10+390634.7,246.84209,39.109627,0.0329445,40.681068192338465,-21.1852722,13.841860392755079,0.0,2397.0,Sc4t
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,13.549407607885039,0.0,1590.0,SBc?t(r),J151422.39+501946.8,228.59331,50.32967100000001,0.0369379,39.72574493268503,-21.0596657,14.222297082758505,0.0,6276.0,Er(r)
J161630.68+354228.9,244.12782,35.708015,0.027742000000000003,40.40471169601295,-21.0961266,13.549407607885039,0.0,1590.0,SBc?t(r),J171524.49+571921.0,258.85203,57.32250300000001,0.0295576,39.48139065462559,-21.14007,13.646050365961322,0.0,2010.0,Ei
J173809.30+584253.7,264.53876,58.714904,0.028761,39.606701,-20.3887768,14.33673341891672,1.0,5130.0,SBb(r),J111839.64+551040.4,169.66515,55.177885,0.030941000000000007,39.59952416512576,-20.3787193,14.50895362424621,1.0,7000.0,Sb3m
J173809.30+584253.7,264.53876,58.714904,0.028761,39.606701,-20.3887768,14.33673341891672,1.0,5130.0,SBb(r),J171934.81+563748.1,259.89506,56.630038,0.0273728,39.629025,-20.4201908,14.195654099854181,1.0,4898.0,Ei
J173809.30+584253.7,264.53876,58.714904,0.028761,39.606701,-20.3887768,14.33673341891672,1.0,5130.0,SBb(r),J222239.65-095951.7,335.6652200000001,-9.9976821,0.036623,39.5689284657561,-20.3706989,14.89217041506484,1.0,,
J173809.30+584253.7,264.53876,58.714904,0.028761,39.606701,-20.3887768,14.33673341891672,1.0,5130.0,SBb(r),J120702.26+584959.2,181.75943,58.833123,0.0317903,39.64715102751164,-20.4086189,14.539220200637459,1.0,7950.0,Sb?m(m)
J173809.30+584253.7,264.53876,58.714904,0.028761,39.606701,-20.3887768,14.33673341891672,1.0,5130.0,SBb(r),J074252.09+220645.8,115.71705,22.11272,0.028585900000000008,39.65313179328044,-20.376016600000003,14.335950575293214,1.0,5500.0,SBc3t
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,13.368843193726908,1.0,1337.0,SBb(d),J003735.81+001650.5,9.3992204,0.28068526,0.0349309,40.69341800000001,-21.4114513,13.745995638564697,1.0,2455.0,SBb2m(r)
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,13.368843193726908,1.0,1337.0,SBb(d),J120908.81+440011.5,182.28671,44.003199,0.0375801,40.493897163464936,-21.4605312,13.859883383030345,1.0,2575.0,Sc3m
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,13.368843193726908,1.0,1337.0,SBb(d),J075953.49+232324.2,119.97287,23.390062,0.0291703,40.298635,-21.3161354,13.440719416456695,1.0,1446.0,Sb2m
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,13.368843193726908,1.0,1337.0,SBb(d),J152041.34+490623.6,230.17224,49.106545,0.0384042,40.068381700956714,-21.3000641,14.068765990717068,1.0,4146.0,Sb2m
J111349.74+093510.7,168.45725,9.586292,0.028969,40.683095,-21.3726501,13.368843193726908,1.0,1337.0,SBb(d),J114509.25+494307.7,176.28855,49.718795,0.0322772,39.78064142072722,-21.4292049,13.552421991844144,1.0,1704.0,Ei
J112408.65-010927.9,171.03603,-1.1577620000000002,0.029288,40.872813,-20.4054089,14.360379745596035,1.0,6564.0,Sb2t(r),J080359.20+234520.5,120.99667,23.755681,0.0293969,41.012553000000004,-20.3846207,14.389402554979293,1.0,6694.0,Er
J112408.65-010927.9,171.03603,-1.1577620000000002,0.029288,40.872813,-20.4054089,14.360379745596035,1.0,6564.0,Sb2t(r),J120914.11+470330.1,182.30879,47.05836400000001,0.024219900000000003,41.05730965823643,-20.4895439,13.855458670560296,1.0,2969.0,Sb2t
J112408.65-010927.9,171.03603,-1.1577620000000002,0.029288,40.872813,-20.4054089,14.360379745596035,1.0,6564.0,Sb2t(r),J081225.47+374348.8,123.10611000000002,37.730217,0.0384855,40.590806902718526,-20.3435516,15.029999846642804,1.0,17916.0,Er
J112408.65-010927.9,171.03603,-1.1577620000000002,0.029288,40.872813,-20.4054089,14.360379745596035,1.0,6564.0,Sb2t(r),J131915.90+543606.3,199.81623,54.601739,0.0322972,40.51447922026173,-20.4608669,14.522137185485859,1.0,8407.0,Sb(r)
J112408.65-010927.9,171.03603,-1.1577620000000002,0.029288,40.872813,-20.4054089,14.360379745596035,1.0,6564.0,Sb2t(r),J113240.25+525701.4,173.16769,52.95037900000001,0.0265955,41.25891913835776,-20.438753100000003,14.113279379576586,1.0,3912.0,Ser(m)
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,14.109386310496228,1.0,3805.0,Sb2l,J114743.69+014934.4,176.93204,1.8262165,0.028637,40.0452841148156,-20.754058800000006,13.961869067893293,1.0,3186.0,Sb3t(r)
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,14.109386310496228,1.0,3805.0,Sb2l,J105546.79+440258.8,163.94496,44.049663,0.0371108,40.049524,-20.6618195,14.630559416854663,1.0,9740.0,Er
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,14.109386310496228,1.0,3805.0,Sb2l,J102332.55+522031.4,155.88561,52.342049,0.0322238,39.98439128015401,-20.781599,14.19634669261773,1.0,4851.0,Ser(d)
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,14.109386310496228,1.0,3805.0,Sb2l,J134527.23+475521.8,206.36345,47.92271,0.028057,39.975558855785046,-20.7202663,13.950293987319114,1.0,2973.0,Sc?t
J231815.67+001540.2,349.56529,0.261179,0.029773,40.017390999999996,-20.6928482,14.109386310496228,1.0,3805.0,Sb2l,J131408.61-002628.0,198.53589,-0.44112266,0.039251,39.964184577293686,-20.6613331,14.756203046894562,1.0,10626.0,SBb?t
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,14.23880427382225,1.0,5336.0,Ser,J153138.87+351649.7,232.91195,35.280473,0.0369279,39.36999642603729,-20.5882893,14.6930695925574,1.0,10770.0,SBb(r)
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,14.23880427382225,1.0,5336.0,Ser,J110036.95+440551.0,165.15395,44.097494,0.03655680000000002,39.37327029707372,-20.5374317,14.721403321709516,1.0,10710.0,Ser
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,14.23880427382225,1.0,5336.0,Ser,J105646.12+053940.0,164.19215,5.6611079,0.0396518,39.35778414229323,-20.6448383,14.795395271519222,1.0,10766.0,SBb2l(r)
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,14.23880427382225,1.0,5336.0,Ser,J024850.80-004602.6,42.211665,-0.76739767,0.0216195,39.3888018384218,-20.5906429,13.503495541545668,1.0,1270.0,Sb(r)
J144331.27+492335.2,220.88029,49.393125,0.030161,39.368887,-20.5921707,14.23880427382225,1.0,5336.0,Ser,J034240.10-062254.6,55.667104,-6.3818355,0.0211967,39.34881437496051,-20.6269665,13.423595594168274,1.0,,
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,14.1677572970159,1.0,4335.0,SBb4t,J121451.24-032922.2,183.71352,-3.4895004000000003,0.0335214,40.624677,-20.680563,14.385190252648457,1.0,7017.0,SBb2m
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,14.1677572970159,1.0,4335.0,SBb4t,J080248.17+450204.4,120.70071000000002,45.034554,0.0387923,40.64221471130653,-20.7077618,14.683519440513273,1.0,9266.0,Sc
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,14.1677572970159,1.0,4335.0,SBb4t,J111943.96+073529.0,169.93315,7.5913954,0.039289300000000006,40.528859999999995,-20.5992928,14.82042201533998,1.0,12730.0,Ec
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,14.1677572970159,1.0,4335.0,SBb4t,J110630.66+063333.9,166.62775,6.559402900000001,0.040186900000000005,40.67843232062144,-20.6694069,14.800783892809784,1.0,12663.0,SBb2m
J123651.18+453904.2,189.21325,45.651162,0.030419,40.586452,-20.6821289,14.1677572970159,1.0,4335.0,SBb4t,J015248.42-084320.7,28.201757,-8.7224228,0.036934,40.856431753079704,-20.7207546,14.560972684543465,1.0,,
